id,user_utterance,bot_utterance,,Giving Facts,Feeling,Share Personal Information
668,Klingt gut,"Das freut mich zu hören. Stelle dir vor, du würdest diese gesunden Lebensmittel öfter in deinen Alltag einbauen. Wie würde sich das auf dein Wohlbefinden auswirken","Nutzer: Klingt gut
Chatbot: Das freut mich zu hören. Stelle dir vor, du würdest diese gesunden Lebensmittel öfter in deinen Alltag einbauen. Wie würde sich das auf dein Wohlbefinden auswirken",0,1,0
196,"Ich könnte mich schneller und windiger bewegen und könnte Kleidung tragen, die ich lieber mag.","Das klingt nach tollen Zielen! Du könntest dich also besser bewegen und dich in deiner Kleidung wohler fühlen. Eine gesündere Ernährung könnte dir dabei helfen, diese Ziele zu erreichen. Es wäre auch wichtig, sich mögliche Hindernisse und Herausforderungen bewusst zu machen, die auf dem Weg zur Änderung auftreten könnten. Was könnte dich deiner Meinung nach dar""","Nutzer: Ich könnte mich schneller und windiger bewegen und könnte Kleidung tragen, die ich lieber mag.
Chatbot: Das klingt nach tollen Zielen! Du könntest dich also besser bewegen und dich in deiner Kleidung wohler fühlen. Eine gesündere Ernährung könnte dir dabei helfen, diese Ziele zu erreichen. Es wäre auch wichtig, sich mögliche Hindernisse und Herausforderungen bewusst zu machen, die auf dem Weg zur Änderung auftreten könnten. Was könnte dich deiner Meinung nach dar""",0,0,0
199,Nein,"Das ist vollkommen in Ordnung. Die Identifizierung von Hindernissen ist der erste Schritt, um Strategien zu entwickeln, um mit ihnen umzugehen. 
Eine Strategie könnte zum Beispiel sein, gesunde Snacks griffbereit zu haben, wenn du gestresst bist, statt zu weniger gesunden Alternativen zu greifen.
Eine andere könnte sein, sich Zeit für Entspannungsübungen zu nehmen, um deinen""","Nutzer: Nein
Chatbot: Das ist vollkommen in Ordnung. Die Identifizierung von Hindernissen ist der erste Schritt, um Strategien zu entwickeln, um mit ihnen umzugehen. 
Eine Strategie könnte zum Beispiel sein, gesunde Snacks griffbereit zu haben, wenn du gestresst bist, statt zu weniger gesunden Alternativen zu greifen.
Eine andere könnte sein, sich Zeit für Entspannungsübungen zu nehmen, um deinen""",1,0,0
1504,"Mein Einfluss auf die Gesamtsituation ist viel zu gering, als dass es wirklich etwas bewirkten würde. Daher sehe ich wenig Sinn darin, mein Verhalten zu ändern.","Ich verstehe, dass du dich vielleicht überfordert und klein fühlst angesichts der Größe des Problems. Aber erinnerst du dich an das alte Sprichwort: ""Auch der längste Marsch beginnt mit dem ersten Schritt""","Nutzer: Mein Einfluss auf die Gesamtsituation ist viel zu gering, als dass es wirklich etwas bewirkten würde. Daher sehe ich wenig Sinn darin, mein Verhalten zu ändern.
Chatbot: Ich verstehe, dass du dich vielleicht überfordert und klein fühlst angesichts der Größe des Problems. Aber erinnerst du dich an das alte Sprichwort: ""Auch der längste Marsch beginnt mit dem ersten Schritt""",0,0,1
345,Gesundheit ist eins der wichtigsten Dinge im Leben!,"Das ist eine sehr weise Einstellung. Was wäre das beste Ergebnis, wenn du anfängst, dich gesünder zu ernähren","Nutzer: Gesundheit ist eins der wichtigsten Dinge im Leben!
Chatbot: Das ist eine sehr weise Einstellung. Was wäre das beste Ergebnis, wenn du anfängst, dich gesünder zu ernähren",0,0,0
1300,"Wenn die Aufgabe nicht sofort wichtig ist, verschiebe ich das lieber auf morgen und widme mich interessanteren Dingen","Das ist eine sehr menschliche Reaktion und du bist nicht allein damit. Die Verschiebung von Aufgaben, die nicht sofort wichtig erscheinen, ist etwas, was viele Menschen tun. Es scheint, als ob du Schwierigkeiten hast, dich auf Aufgaben zu konzentrieren, die nicht unmittelbar wichtig sind, aber dennoch erledigt werden müssen. Was denkst du, könnten mögliche Strategien sein, um dieses Ver""","Nutzer: Wenn die Aufgabe nicht sofort wichtig ist, verschiebe ich das lieber auf morgen und widme mich interessanteren Dingen
Chatbot: Das ist eine sehr menschliche Reaktion und du bist nicht allein damit. Die Verschiebung von Aufgaben, die nicht sofort wichtig erscheinen, ist etwas, was viele Menschen tun. Es scheint, als ob du Schwierigkeiten hast, dich auf Aufgaben zu konzentrieren, die nicht unmittelbar wichtig sind, aber dennoch erledigt werden müssen. Was denkst du, könnten mögliche Strategien sein, um dieses Ver""",1,0,0
1921,5,Eine 5. Das klingt als stündest du dieser Veränderung nicht allzu zuversichtlich gegenüber. Erzähl mir bitte mehr über deine Einstellung. Warum hast du keinen höheren oder niedrigeren Wert angegeben?,"Nutzer: 5
Chatbot: Eine 5. Das klingt als stündest du dieser Veränderung nicht allzu zuversichtlich gegenüber. Erzähl mir bitte mehr über deine Einstellung. Warum hast du keinen höheren oder niedrigeren Wert angegeben?",0,0,0
644,"Ja , früher viel mir das leichter.","Es war früher leichter für dich. Deine Erfahrung zeigt, dass du die Fähigkeit hast, Veränderungen in deinem Leben zu bewältigen. Du weißt, was du tun musst, und du hast bewiesen, dass du es kannst.","Nutzer: Ja , früher viel mir das leichter.
Chatbot: Es war früher leichter für dich. Deine Erfahrung zeigt, dass du die Fähigkeit hast, Veränderungen in deinem Leben zu bewältigen. Du weißt, was du tun musst, und du hast bewiesen, dass du es kannst.",0,0,0
306,Ein vorgegebener Lernplan wäre gut,"Das klingt nach einer guten Idee. Ein strukturierter Lernplan kann dazu beitragen, dass du dich auf das konzentrierst, was du lernen musst, und es kann auch dabei helfen, Ablenkungen zu minimieren. Wie könntest du einen solchen Plan in dein tägliches Leben integrieren","Nutzer: Ein vorgegebener Lernplan wäre gut
Chatbot: Das klingt nach einer guten Idee. Ein strukturierter Lernplan kann dazu beitragen, dass du dich auf das konzentrierst, was du lernen musst, und es kann auch dabei helfen, Ablenkungen zu minimieren. Wie könntest du einen solchen Plan in dein tägliches Leben integrieren",1,0,0
1419,Weil mein gesamtes Leben davon abhängt. Erfolgreich sein etc. etc.,"Das klingt sehr bedeutsam. Du siehst also deine gesamte Zukunft darin verbunden, weniger zu prokrastinieren und verantwortungsbewusster zu werden. Was wäre der beste Ausgang, wenn du dieses Verhalten ändern könntest","Nutzer: Weil mein gesamtes Leben davon abhängt. Erfolgreich sein etc. etc.
Chatbot: Das klingt sehr bedeutsam. Du siehst also deine gesamte Zukunft darin verbunden, weniger zu prokrastinieren und verantwortungsbewusster zu werden. Was wäre der beste Ausgang, wenn du dieses Verhalten ändern könntest",0,0,0
736,"Produktiver zu sein, ist sehr wichtig für mich. Daher bin ich sehr bereits Veränderungen durchzuführen.","Es ist gut zu hören, dass du so motiviert bist, produktiver zu sein. Nun, um eine effektive Verhaltensänderung zu erreichen, ist es hilfreich, spezifische Ziele zu setzen. Was genau meinst du, wenn du sagst, du möchtest ""produktiver sein""","Nutzer: Produktiver zu sein, ist sehr wichtig für mich. Daher bin ich sehr bereits Veränderungen durchzuführen.
Chatbot: Es ist gut zu hören, dass du so motiviert bist, produktiver zu sein. Nun, um eine effektive Verhaltensänderung zu erreichen, ist es hilfreich, spezifische Ziele zu setzen. Was genau meinst du, wenn du sagst, du möchtest ""produktiver sein""",0,1,0
1179,"Ich will die Veränderung auf jeden Fall und zu 100% durchführen, weiß jedoch auch, dass ich eingeschränkt bin. Deshalb habe ich keine 10 vergeben","Ich verstehe, dass du dir dieser Herausforderung bewusst bist und es scheint, dass du eine realistische Einschätzung deiner Situation hast. Das ist ein guter Ausgangspunkt. Kannst du mir sagen, welche Schritte du bereits unternommen hast, um weniger zu prokrastinieren und wie erfolgreich diese waren""","Nutzer: Ich will die Veränderung auf jeden Fall und zu 100% durchführen, weiß jedoch auch, dass ich eingeschränkt bin. Deshalb habe ich keine 10 vergeben
Chatbot: Ich verstehe, dass du dir dieser Herausforderung bewusst bist und es scheint, dass du eine realistische Einschätzung deiner Situation hast. Das ist ein guter Ausgangspunkt. Kannst du mir sagen, welche Schritte du bereits unternommen hast, um weniger zu prokrastinieren und wie erfolgreich diese waren""",0,0,1
406,Ich weiß nicht,"Das ist in Ordnung, manchmal ist es nicht einfach, die Gründe für unsere Gefühle zu identifizieren. Es ist schon ein guter Anfang, dass du dir bewusst bist, dass du weniger prokrastinieren möchtest. Lass uns versuchen, ein bisschen tiefer zu graben. Was könnten die Vorteile sein, wenn du weniger prokrastinieren würdest""","Nutzer: Ich weiß nicht
Chatbot: Das ist in Ordnung, manchmal ist es nicht einfach, die Gründe für unsere Gefühle zu identifizieren. Es ist schon ein guter Anfang, dass du dir bewusst bist, dass du weniger prokrastinieren möchtest. Lass uns versuchen, ein bisschen tiefer zu graben. Was könnten die Vorteile sein, wenn du weniger prokrastinieren würdest""",0,0,1
148,Ich denke ich könnte noch weniger rotes Fleisch essen und eher auf vegetarische Produkte oder Fisch umsteigen. Das fällt mir noch schwer.,"Du hast also den Wunsch, weniger rotes Fleisch zu essen und mehr auf vegetarische Alternativen oder Fisch zurückzugreifen. Was genau macht diese Veränderung für dich schwierig","Nutzer: Ich denke ich könnte noch weniger rotes Fleisch essen und eher auf vegetarische Produkte oder Fisch umsteigen. Das fällt mir noch schwer.
Chatbot: Du hast also den Wunsch, weniger rotes Fleisch zu essen und mehr auf vegetarische Alternativen oder Fisch zurückzugreifen. Was genau macht diese Veränderung für dich schwierig",0,0,0
926,9,Eine 9. Du stehst dieser Veränderung also insgesamt positiv gegenüber. Kannst du mir etwas mehr über diese Einschätzung sagen? Warum hast du keinen höheren oder niedrigeren Wert angegeben?,"Nutzer: 9
Chatbot: Eine 9. Du stehst dieser Veränderung also insgesamt positiv gegenüber. Kannst du mir etwas mehr über diese Einschätzung sagen? Warum hast du keinen höheren oder niedrigeren Wert angegeben?",0,0,0
726,Es ist manchmal schwierig die regelmäßigen Zeiten einzuhalten und gelegentliche Heißhunger attacken,"Veränderungen können tatsächlich eine Herausforderung sein und es ist vollkommen normal, auf dem Weg dorthin auf Hindernisse zu stoßen. Es ist wichtig, realistisch zu bleiben und sich selbst zu vergeben, wenn man mal einen Fehler macht oder vom Weg abkommt. Hast du einen Plan, wie du mit diesen Herausforderungen umgehen kannst","Nutzer: Es ist manchmal schwierig die regelmäßigen Zeiten einzuhalten und gelegentliche Heißhunger attacken
Chatbot: Veränderungen können tatsächlich eine Herausforderung sein und es ist vollkommen normal, auf dem Weg dorthin auf Hindernisse zu stoßen. Es ist wichtig, realistisch zu bleiben und sich selbst zu vergeben, wenn man mal einen Fehler macht oder vom Weg abkommt. Hast du einen Plan, wie du mit diesen Herausforderungen umgehen kannst",1,0,0
1387,"Wenn ich einkaufen bin und emotional bin oder einen schlechten Tag hatte, ist es schwer nicht ""emotional"" einzukaufen und Süßigkeiten oder ungesundes Essen zu kaufen.","Emotionales Essen kann eine Herausforderung sein. Es ist normal, dass wir uns manchmal mit Essen trösten wollen, besonders wenn wir einen harten Tag hatten. Könntest du dir vorstellen, vor dem Einkaufen einen Plan zu erstellen, was du kaufen möchtest, um impulsiven Einkäufen vorzubeugen","Nutzer: Wenn ich einkaufen bin und emotional bin oder einen schlechten Tag hatte, ist es schwer nicht ""emotional"" einzukaufen und Süßigkeiten oder ungesundes Essen zu kaufen.
Chatbot: Emotionales Essen kann eine Herausforderung sein. Es ist normal, dass wir uns manchmal mit Essen trösten wollen, besonders wenn wir einen harten Tag hatten. Könntest du dir vorstellen, vor dem Einkaufen einen Plan zu erstellen, was du kaufen möchtest, um impulsiven Einkäufen vorzubeugen",0,0,1
