,index,Sentence,labels
3219,861," für mich war es trotzdem grandios, dass ich gar schaffe leckeren Salat nicht aufzuessen, sondern bei dem Sättigungsgefühl aufzuhören...",1
2562,451," Ich will es aber net machen ,weil ich keine Lust habe wieder gute Ratschläge anzuhören etc.",0
161,3904, Auf das Eiweiss achte ich ab sofort auch.,2
6184,3734,Nächste Woche würde ich gerne ein großes Kind bekommen.,0
4593,3599,Ich habe 100 g in einer Woche verloren und viele Male gesündigt.,1
8591,1742,Ich konnte nicht.,0
8592,1742,Und ich kann nicht.,0
9218,4501,"Ich glaube, ich gehe in die richtige Richtung.",0
1533,342, Kurios…aber anscheinend gar solche minimalen Erfolge sind gute Erfolge.,0
457,3806, Mein innerer Kritiker hat mich wieder voll im Griff und schadet mir emotional sehr!!!,0
8306,2122,"Ich bin an dem Punkt in meinem Leben, wo ich alles tun kann, was ich will.",0
410,1002," Ich will es mir duch eine Op nicht zu ""leicht"" machen und bestrafe mich selbst.",0
215,3540,"   Nur momentan ist eher Eis mein Problem… Da kann ich dann auch nicht NEIN sagen… Die Süßigkeiten die ich zu Hause für meinen Freund habe, rühre ich auch nicht an, ich kaufe auch nichts anderes… Nur Eis ist momentan echt ein Problem und ich könnte mich Ohrfeigen dafür…   Mir fällt es momentan wieder schwer die nötige Disziplin aufzubringen…  Dazu kommt, dass ich, egal was ich esse, es gar nicht mehr genießen kann.",0
7173,4552,"Ich esse kein Abendessen, weil ich selten Hunger oder Verlangen habe.",1
3616,3784," Ich habe seit drei Monaten einen Schlauchmagen und esse nur sehr wenig und passe auch auf, dass ich abends nicht wieder alte Muster auf den Esstisch bringe.",1
8922,4359,Da würde ich gerne zurückgehen.,0
4078,54,"Es gibt viele Situationen, die mir wehtun.",0
7613,2266,"Wenn mich jemand zu etwas drängen will, dann tue ich es jetzt nicht, und wenn es gut für mich wäre, dann würde ich es nicht tun.",0
4290,1893,"Er sah, wie fit ich bin.",0
6204,3298,"Ich habe 86 Kilogramm nur durch reine Nahrungsumwandlung verloren, nicht durch Sport, denn Sport belastet den Körper noch mehr, er ist bereits durch den Rückgang beschäftigt.",1
6478,4454,"Ich mache meine Runden, auch wenn ich es nicht will.",1
1089,2517, Das Aufschreiben hilft!,0
9580,3597,"Ich bin mir der Ziele bewusst, aber ich habe keinen Meilenstein vor mir.",0
2772,1276,"  In drei Tagen bekomme ich deshalb einen Schlauchi, denn ich finde seit etwas über zwei Jahren den Einstieg in eine Umstellung nicht mehr, da ich an mehrern Baustellen am abarbeiten bin.",0
3035,317,   ich habe sehr große Angst vor der OP...,0
7084,1776,"Kämpft nicht, esst, wenn ich Hunger habe und wie das, was ich sehe.",0
6024,806,Ich habe letztes Jahr viel Essen verloren.,0
7838,217,"Wenn man nicht kasteit, funktioniert der Rückgang besser.",0
5884,3804,"Ich bin fast verrückt, weil ich mehr wiege.",0
3296,1585," So langsam merke ich auch,das sich bestimmte Dinge einnisten in meinem Denken.",0
1792,3344,"  Inzwischen weiß ich, dass für jemanden mit Adipositas, dass allererste Ziel sein muss, nicht zuzunehmen!",0
8242,3010,"Ich mache keine Anrufe in der Firma, für die ich arbeite...",1
9050,841,"Ich habe gerade erst drei Wochen bekommen, aber das Sitzen war nichts.",0
4632,1114,Es lohnt sich jetzt!,0
6431,1007,"Am Morgen ist es Kaffee, Wasser und Ziggi's, und ich bin ziemlich lang (nicht eins, nicht zwei, dann drei Kornrollen mit magerem Pute oder ähnliches).",1
6429,1315,"Ich will nicht, dass mir das passiert.",0
4687,3696,"Dank ihr, fahren Sie weiter.",0
4301,2881,"Ich weiß nicht, was ich vermisse.",0
4586,3675,In den letzten Wochen habe ich immer wieder auf mich aufgepasst.,1
3715,4369," Muss mal schauen, ob mir ein Salat mit nur Essig und Öl und Gewürzen auch schmeckt.",0
9007,3099,"Wenn Sie nicht Ihre Essgewohnheiten ändern, wird die Operation nichts tun.",0
9077,1399,Ich hatte es beendet und wollte stark bleiben.,1
5889,3780,"Die Vernunft sagt mir, dass ich den ganzen Tag nichts brauche, wenn ich nur tagsüber esse.",0
996,1210," Wie zb das ich mir vor dem Sport Gedanken mache, was ich danach noch zu mir nehme falls ich totalen Hunger habe (und mir den Sport nicht wieder kaputt macht).",2
6548,553,Ich habe den Knoblauch ins Öl getan.,1
3096,4566, Aber auf keinen Fall noch mehr zunehmen!!,0
4549,1545,Wird es alles sein?,0
1636,2329, über 10 BMI-Punkte weniger!,0
8778,545,Ich habe fast die Teekanne geleert und eine Rolle Frischkäse gegessen.,1
8172,1157,Ich hatte drei Brote und bin nicht müde.,1
1976,2130," Klingt gut, ich weiß, aber ganz so ist es nicht, denn die grossen Mengen auf einmal gehen nicht mehr und das empfinde ich nach wie vor als gaaaaaaaaaaaaaaaanz super Unterstützung ...",0
6310,592,Ich bin kaum eine Woche von meinem Tag entfernt.,0
631,1544, Ist jetzt alles wieder vorbei?,0
5714,2360,"Es kommt selten vor, dass ich ""notwendig"" nach einer Low-Cal-Variante greifen muss.",1
9184,4220,"Heute und morgen sind die letzten zwei Tage, an denen ich Kartoffeln habe.",1
8902,1203,"Ich sagte mir, dass es das Ziel war.",0
5153,883,"Ich kann es schlecht beschreiben, aber es ist wirklich schlecht, wenn ich zu groß bin.",0
8968,208,"Ich aß nur Gemüse und Fleisch für 2 - 3 Tage in der Woche, das gab mir eine Menge Schub in der Abnahme und erlaubte mir, zu bestehen.",1
276,4112,"Und dann sage ich meinem Kopf immer bei Futter Gedanken""Falsche Richtung"" Irgendwann gewöhnt sich das Unterbewusstsein daran, Wohlfühlen nicht mehr nur mit Essen gleichzusetzen.",1
8143,1709,Ich benutze Essen als eine Form der Erfüllung.,0
3593,3589,  Generell bin ich (leider) kein Freund vom Kalorien zählen.,0
5836,2687,Es gibt mehr Argumente für eine Therapie.,0
79,559, Kein Wunder wenn ich es absichtlich bei gerade mal 80 Grad backe.,1
4688,3696,"Dank ihr, fahren Sie weiter.",0
4416,2651,Ich liebe Buffets an besonderen Tagen.,0
6161,3090,Ich halte nicht immer an und vermeide das.,0
2443,2199," Nachdem ich vor einer Woche feststellen musste, dass ich trotz disziplinierten Essens 2 kg zugenommen hatte, überkam mich großer Frust.",0
4557,209,"Ich möchte Ihnen für Ihre freundlichen Worte danken, im Moment, in dem ich mit der Holding kämpfe, ist es etwas streng.",0
7620,2478,Ich habe meine Krankenkasse viel gefragt.,1
1518,2409, werde wohl doch Dick sterben  Ich bin soweit gekommen es soll wohl nicht sein aber so könnte ich nicht weiter machen es geht nicht  machts gut ich drücke allen die Daumen das sie ihr Ziel erreichen ich schaff es leider nicht,0
5455,3635,"Ich genieße die Tatsache, dass ich 3-4 Mahlzeiten ohne einen Snack zu halten und keine Lust zu haben.",0
7116,3405,"Es ist einfacher, wenn man dünner ist.",0
4645,501,"Wenn es eine Woche in einem Monat, wo ich Gewicht zu gewinnen, ich don 't fallen in Depressionen.",1
3919,4585,"Die Strategie ist, mehr Laissez Faire zu sein und nicht viel Lob oder Zufriedenheit von kleinen Erfolgen zu erwarten.",1
9598,3426,"Es ist nicht schön, Leute zu sehen, die du schon lange nicht mehr gesehen hast.",0
7859,1483,"Es war toll für mich zu sorgen und zu stoppen, wenn ich müde war.",0
1300,458, Daher ist mein Vertrauen in diese Leute nicht so groß.,0
8917,1299,"Zum ersten Mal in der Kinderbetreuung ohne große Akklimatisierungszeit verlassen, meine Tochter wurde von ihrem Vater für einen kurzen Zeitraum getrennt.",0
6700,2882,Ich kann nicht mal Übungen machen.,0
9493,1588,Ich esse nachts nicht mehr.,1
325,3716, 10 km gehen gut.,0
8403,3030,"Nicht viel kann getan werden, außer für das tägliche Schwimmen.",0
4754,1782,"Zum ersten Mal in meiner Suchtkarriere wurde ich an das erinnert, was ich esse.",0
1601,2114," Hier was kleines, dort was kleines - vorwiegend Süsses sollte es sein.......",0
2587,1072,aber ich habe geachtet was ich esse..,1
3186,1066,"Es tut mir Leid, aber es ist ein Teufelskreis, aus dem ich nicht heraus komme.",0
3782,3053,Wegen meiner schweren Schmerzen müssen meine Knie und Hüften ersetzt werden.,0
1251,2755," Was das Sättigungsgefühl angeht, da hab ich keins.",0
2023,808,Aber für mich geht es darum das essen irgendwann mal einen nebensächliche sache sein wird.,0
7316,2529,"Ich glaube nicht, dass es sicher ist.",0
4095,4115,Ich habe immer noch nichts.,0
85,4028,"  Mit dem Frühstück habe ich noch so meine Mühe, da ich eigentlich nie gefrühstückt habe.",0
2309,1979," Zusätzlich mache ich zur zeit 3x die woche sport, 2x Aqua 1x fitness..",1
4678,1760,"Essen ist kein Thema mehr für mich wegen der schweren Last, die ich habe.",0
5182,881,"Ich hatte das Gefühl, zufrieden zu sein.",0
8316,3142,"Ich nehme dies als Gelegenheit an, meine Essgewohnheiten zu ändern, da alle meine Blutwerte korrekt waren.",0
7280,962,Ich werde das gleiche am Abend mit einem Licht tun.,1
1001,884," Ich bin gespannt, wie ich das schaffen soll - nachdem ich es auch sonst nicht geschafft habe.",0
78,1249,Na ich bin gespannt ob ich bis Weihnachten noch die 90kg schaffe..,0
53,658, Machen heißt die Losung!,0
3747,1495,"  Es hat sich eingeschlichen :   zuviel,auch wenns gesund ist.",0
7387,610,Ich will wegen etwas nicht abhauen.,0
3117,2142,   Ich ess auch so um die 1500 kcal pro Tag.,1
6442,594,Die Schockfackeln sind weg.,1
1693,2373, und ich komme so natürlich meinem grossen Traum immer näher.,0
454,4417," Also einen Teelöffel scharfer Senf oder Wasabi, Chilligummibärchen oder an Minzöl riechen.",1
4237,4516,"Ich werde weiterkämpfen, aber am Ende werde ich etwas Gutes bekommen.",2
8812,4080,Ich könnte einen schlechten Tag haben.,0
5581,1125,"Ich werde versuchen, eine für eine Duzentfarbe zu bekommen, um eine in einer normalen Gewichtsklasse zu finden.",2
4825,4272,"Kalorien schreiben hilft mir, die Kontrolle über die Tage habe ich Kontrolle über.",0
7956,50,Ich nehme eine Menge Schmerzmittel.,0
154,4478,    Das schaffe ich!!,0
9189,3603,"Ich gehe zurück zu einer Diät, die zuckerarm ist.",2
8833,580,Ich will dieses Hemd zum Konzert tragen.,0
336,769, Allerdings schrecken mich die 2 wöchentlich verpflichtenden Termine im ersten halben Jahr total ab.,0
7031,251,"Hoffentlich bekommst du die Operation, du würdest gerne gehen.",2
3859,1410,Das möchte ich nicht.,0
9281,748,"1,5 Jahre ohne Schluckauf.",0
6133,2852,"Es ist so glücklich, einen Platz hinter dem Lenkrad zu haben, während er in einem normalen Stuhl sitzt.",0
6611,522,"Ich bin froh, dass es so gut geklappt hat.",0
1972,726,War sonst immer so konsequent gewesen (keine süssigkeiten etc)...,1
3627,2217, nein natürlich nicht !!!!!!!!!!!!!!,2
8277,3688,Mein Leben geht schwimmend.,0
2946,364,"  Ich bin 1,58 m klein und habe 116 kg geogen als ich mit dem für mich erstellten Ernährungspaln angefangen habe.",1
2346,3398," Bin nun ein wenig mobiler, vor allem kann ich wieder Auto fahren.",0
7595,1821,"Essen ist nicht so, wie es im Moment sein sollte, aber ich setzte mich heute Morgen auf die Waage.",1
3398,164, Irgendwie hab ich Abends immer den meisten Hunger.,0
4377,4614,"Erst als ich mir bei der Operation half, erkannte ich, warum es immer so war.",1
3787,3300,"Am Wochenende, nachdem ich nicht operierte, zog ich die Notbremse und ließ all die schlechten Sachen aus.",1
9082,1992,"Das war die Notbremse, weil du nicht weitermachen musst, wenn du krank wirst oder dich nicht bewegen kannst.",0
8958,8,"Es ist mir egal zu raten, denn wenn ich 15-20 Jahre habe, wird es für mich und meine Kinder einfacher sein, Spaß zu haben.",0
8481,854,"Ich freue mich, das noch mal zu hören.",0
7626,451,Ich will deswegen keinen guten Rat mehr hören.,0
1066,398,  Natürlich ging es am nächsten Tag früh wieder mit dem Rad ...,0
2342,2930," Ist eine tolleLeistung ich weiss ,aber wenn nichts mehr geht ist es auch nicht gut.",0
9548,3742,Ich werde mehr Gemüse und Obst essen.,1
8067,971,"Das Einzige, was Sie tun müssen, ist eine Hantelfunktionsbank einzurichten.",0
5262,4227,"Normalerweise habe ich das Falsche in mich selbst getan, wenn ich es verfolgen will.",1
2341,1007," Morgens sind es eben Kaffe, Wasser und Ziggi´s   wenn der Hunger dann kommt, dann lang ich halt ziemlich zu ( nicht ein, nicht zwei, dann gleich 3 Körnerbrötchen mit magerer pute oder ähnliches.",1
1662,3739," Habe mich durch Essen ""bestraft"", belohnt, etc..",1
2067,3842," Ich führe online ein Ess-Tagebuch und dort sehe ich, wie viele Kalorien ich zu mir genommen habe und ob ich im Rahmen liege.",1
7927,2413,"Ich will nicht die Operation wegen der Nebenwirkungen wie Haarausfall, was kann ich essen und trinken, und so weiter.",0
6334,146,Es könnte eine Veränderung des Essens sein.,2
1603,3272," Ich habe ein gutes Gefühl, was meine Ernährung angeht.",0
2617,2503," Aber dann lese ich immer wieder von Komplikationen beim Essen, die Haare fallen aus oder wenn diese schon länger operiert sind das sie wieder zunehmen.",0
8317,838,Ich werde den ganzen Tag frühstücken und trinken und dann werde ich gut essen.,1
3503,3818," Aber trotzdem bekamen wir eben auch immer alle Ernährungsregeln und Einschränkungen mit, und ständig mit der Warnung ""ihr müsst aufpassen, dass ihr nicht auch dick werdet"".",0
5252,1013,"Wenn ich wieder an Essen denke, kann ich einen meiner eigenen klatschen.",0
7323,739,"Ich zwingt ihn, Hallo zu sagen.",2
4235,4663,"Ich kann mir Zeit nehmen, damit das machbar klingt.",0
2863,2525, Natürlich xxl bis 250 Kg :-(( Aber es wird total schwer.,0
3766,385,"  in diesem Sinne, ich hoffe dass spätestens übermorgen mein altes (neues) Essverhalten wieder da ist...",0
6014,4684,"Ich dachte, ich könnte um etwas bitten, aber ich weiß nicht, was es ist.",2
2097,2424,Am Montag auf dem Weg zum Sport habe ich mir eine Muskelzerrung geholt (das 2te mal innerhalb 4w)nur das andere Bein das hat mir gezeigt wie schlaff mein Körper ist und das ich wirklich was tun muß .,0
6531,2756,"Ich glaube nicht, dass es einfach ist.",0
7315,2529,Ich will keinen Frieden.,0
6772,2775,"Vielleicht gehe ich ein- oder zweimal die Woche spazieren und mache etwas, das mich ablenkt.",1
9497,3006,Es ist Luft im Bund.,0
8109,3916,So soll der frühe Sport sein.,2
2987,763,  Allerdings war es am letzten Wochenende auch extrem: Mittags nach dem Standesamt grillen und abends dann lecker Hochzeitsessen (griechisches Büffet).,1
9366,1513,"Ich war so hungrig, nachdem ich ein Stück schwarzes Brot gegessen hatte, dass ich dachte, ich hätte drei gegessen.",1
5311,1186,"Ich denke nicht, dass es erweitert werden sollte, da ich weniger Belastung auf meinem Bauch jetzt, da es nicht gefüllt ist, bis ich platze, aber ich höre davor auf.",1
9033,1541,"Es wurde gesagt, dass mir besondere Aufmerksamkeit geschenkt wurde.",2
2027,3748,"  Zum einen als Ablenkung, Zeitvertreib, Fitness, Stressabbau etc und es hat auch Spaß gemacht und hinterher ein tolles Gefühl gemacht (Gefühl etwas gemacht zu haben, ein best.",1
7240,2777,Meine Gedanken sind nicht immer mit Essen verwandt.,1
9573,1373,"Das ist es, was es sein soll.",2
5319,4343,"Jeder glaubt, dass Übergewicht spielt auch eine Rolle in diesem.",0
2308,3464,  Ich habe den UHU geschafft     und freue mich wieder mal riesig.,0
5043,2585,"Ich konnte es nicht allein zu Hause tun, damit sie es dort nicht getan hätten.",0
3087,1507," Joghurt gibts dann um 22 uhr,obwohl ich keinen Hunger mehr habe, ach alles doof so.",1
4182,1625,"Hör auf, wenn du müde bist.",2
168,4454," Auch wenn ich ihn ungern alleine lasse, meine Runde drehe ich täglich.",1
3354,4150, Immerhin dauert das für mich ja auch noch mal 6 Monate.,0
627,2738,  Manchen Essenseinladungen werde ich einfach aus dem Weg gehen.,2
1358,4261," Werde den GU nochmals berechnen lassen und dann versuchen, moderat und stetig abzunehmen.",2
7199,2998,Ich begann wieder an meiner Diät zu arbeiten und wollte darüber reden.,1
6138,1345,"Ich entschied mich, nur einen Monat auf die Waage zu gehen.",1
50,2118, Das Suchtverhalten sitzt in unserem Kopf und wurde nicht entfernt.,0
5313,4097,Jedes Kilo hilft.,0
4985,1595,"Ich sehe im Spiegel, dass es schlampig ist.",0
2525,2310," Doch seit dem geht es bei mir grammweise und ich frage mich, warum, was mache ich verkehrt, bin ich einfach zu blöd zum abnehmen oder geht es doch noch irgendwann weiter?",0
8246,868,"Ich komme näher an meine negative Klangwand, wenn die Skala von 100 bis 200 Gramm geht.",0
444,2643,"  Das klingt jetzt fatalistisch aber ich denke, wir müssen schlichtweg andere Strategien finden.",0
2928,965,"selbst die Hose die ich letzten Monat gekauft habe, wird mir mitlerweile wieder zu gross...",0
5595,483,"Es hätte nie dazu kommen sollen, und es gab Zeiten, in denen die 120 Kilo mehr Grund für Depressionen als Freude gewesen wären.",0
1369,786, Es geht nun alles sehr schleppend vorran..,0
2499,131," Ich bin noch lange nicht am Ziel und gerade zur Zeit zweifel ich gerade sehr, da es mal wieder mit dem Gewicht nur bergauf und nicht bergab geht.",0
7555,1943,Einfach um mehr zu gewinnen.,0
4607,294,"Ich musste mehr trinken, um das ""tote"" Gefühl des Hungers verschwinden zu lassen.",0
6784,3822,"Ich denke, das liegt daran, dass ich an dem Punkt in meinem Leben bin, an dem ich an der Grenze meiner Energiereserven bin.",0
7441,1752,Es dauert mindestens 30 Minuten Sport pro Tag.,2
3838,12,"Nachdem die Bekehrung vom Arzt abgelehnt wurde, ging ich zu einem Hypotiseur.",1
3008,3394," Zu Beginn hatte ich einen Ernährungsberater aufgesucht, der mir gute Tipps gab.",1
9129,4528,"Es ist nicht leicht, so eine UHU zu sein.",0
6515,333,"Es ist keine Hungersnöte für mich, es ist ein Anfang von etwas Neuem.",0
5987,1421,"Ich will nichts nehmen, aber im Moment brauche ich es nicht.",0
2391,4576,  Ein halbes Kilo habe ich abgenommen in den vergangen 2-3 Tagen.,0
2082,3781," Abends aber, wenn Ruhe einkehrt und der Tag wirklich zu Ende ist, dann könnte ich dies essen und das und jenes, am besten wirklich hochkalorisch und süss und fettig.",0
6551,3761,"Ich mag weder Bäder noch Musik, aber ich esse gern.",0
8731,2648,"Ich bin verzweifelt, wenn ich wieder da stehe.",0
1873,887,"  Habe letztes Jahr eine Ern-Beratung gemacht und dabei meine Ernährung komplett umgestellt: es gibt jetzt nur noch VK-Brot, VK-Nudeln, keine Fertiggerichte mehr, versuche das Glutamat aus meiner Küche zu verbannen und- ganz ganz wichtig- ich esse jetzt regelmäßig und trinke mind 2 ltr Wasser am Tag.",1
6464,1476,"Ich hatte einen Pop-Sat mit etwas Salat und Frikadelle, die ich gegessen habe.",1
9165,3463,Der Körper befindet sich im Stillstand.,0
9003,1517,"Ich finde es toll, dass ich führe.",1
3348,4420, Das ging schon mal gar nicht.,0
7423,861,"Für mich war es großartig, dass ich keinen Salat essen konnte, aber mich nicht beraubt fühlte.",1
7285,2543,"Wenn ich Schokolade will, will ich es ohne Gummibärchen oder sonst was.",0
9051,74,"Das Problem kann nicht richtig gelöst werden, weil die ""dünnen"" Leute auf Sie treten so viel.",0
2215,2470, Nun sitze ich hier in meinem Elend und habe überhaupt keinen Mut mehr.,0
6224,51,Mein Sohn wird wegen seines Vaters geärgert.,0
5747,4656,"Niemand ist sich sicher, ob dies das Gleiche sein wird wie zuvor.",0
2538,1179,ich fühlte mich fett wie ne Presswurst..,0
1629,1095,"  Nun Erfolge habe ich damit noch nicht, da ich wie gesagt erst gestern damit angefangen habe, bzw immer noch am Umstellen bin und erst entsprechend noch einkaufen muss.",1
2672,702," Bin richtig stolz auf mich, habe gestern mal keine Süßigkeiten gegessen.",1
1360,1965,"  Heute morgen war ich nun bei meinem Hausarzt, kurz vor knapp vor seinem Urlaub....",1
3640,810,Denn die gedanken ums essen habe ich jetzt auch  und das ständig und andauernd.....,0
7636,823,Die Bewegung ist der Sport.,0
3805,3586,"Ich kann morgens nicht aufstehen, weil ich weder Gemüse noch so etwas nippeln kann.",0
9509,1311,Ich konsumiere mich erst seit Montag.,1
9713,1314,"Ich sagte meinem Mann, dass ich lieber etwas schwerer sein würde.",0
6629,147,Ich will weitermachen.,0
7486,657,"Ich bin mitten in den Wechseljahren, und der Umsatz wird immer schlechter.",0
9313,2949,Irgendetwas stimmt nicht...,0
3755,4206,  Die Arbeits-T-Shirts und auch die privaten Shirts und Hosen sitzen so scheiße eng..,0
3655,3547, Das ist ja mein Problem.,0
1994,3523, Ein bissel was habe ich in meinem Leben ja noch vor?,0
5800,1049,Ein paar Wochen vor dem Rückschlag vergingen.,0
4086,4707,"Ich muss mir keine Sorgen machen, aus Langeweile zu essen.",0
2799,2824,"  Das Dumme mit der vielen Arbeit ist, dass ich kaum zum Kochen komme.",0
9451,3991,Ich will eine Pfanne machen.,2
6828,1621,"Ich bin dankbar für einen neuen, den ich nur ein paar Mal in meinem Leben haben werde.",0
1444,3937," Ich gehe immer noch 1-2x die Woche ins Studio, so oft ich es eben einrichten kann.",1
9739,115,In jeder Ecke der Wohnung befindet sich eine Schüssel mit Früchten.,1
6845,3056,Ich würde nicht viel Geld verdienen.,2
2078,3141," Natürlich lese ich hier über das metabolische Syndrom, Diabetes und einige unschöne Erkrankungen, die mein Übergewicht mir auch bescheren könnte.",0
2119,1752, Mindestens 30 Minuten Sport JEDEN Tag...,2
299,4001,"  Etappenziele: Grandios wäre, wenn ich bis Disneyland (Ostern) 8kg weniger hätte.",0
4554,4588,"Ich boykottiere mich, weil der Geist keine Schokolade sagt und das Gefühl ist, mir die Schokolade zu geben.",0
3139,2000,und bekomme keine Möglichkeit dazu.,0
6882,3032,Das ist von heute an erledigt.,2
9226,2684,"Ich werde das Gewicht los, weil ich gut in meinem Essen bin.",1
2794,1763," sobald ich anfange am essen rumzudoktorn bin ich genauso zum scheitern verurteilt wie alle anderen auch, das essen ist nicht das problem, das problem ist das problem.",0
8380,2147,"Ich denke darüber nach, wie viel meine Mutter oder Freundin von mir essen würde, wenn ich allein bin.",1
1072,3245,"   Die Zeit ist einfach zu lange bis 23 Uhr, wenn ich ins Bett gehe.",0
9295,989,"Ich bin froh, dass es immer noch Leute gibt, die dasselbe sehen wie ich.",0
8722,604,Nach zehn Minuten war ich schon beim Trainer.,0
21,4634," Ich wollte es damals wissen, ob ich den Konsum reduzieren kann - aber, das war rückblickend das Entscheidende für mich, ohne das Ziel Abnahme, noch nicht mal insgeheim -  und hatte beschlossen komplett auf Zucker verzichten (Definition der WHO).",1
