,index,Sentence,labels
1528,4495,  Das erste Halbjahr 2019 geht mit dem heutigen Sonntag zu Ende und ich konnte noch nicht wirklich viel erreichen.,0
2278,2268,  Ich möchte ja so gerne von mein gewicht runter kommen und möchte meine Ernahrung umstellen usw Nun wollte ich gerne von euch wissen wie ihr das gemacht habt.,0
765,3310, Eine gesunde Ernährung scheint mir in den USA unmöglich.,0
1750,163, Nur das mit dem Dinner Canceling schaffe ich im Moment noch nicht.,0
2985,1749,"  5 Mahlzeiten am Tag, die erste hatte ich heute schon...",1
2684,82," Dabei versage ich mir nichts, wenn ich einen Japp auf Süsses bekomme, dann gönne ich mir bewusst ein Stück um mir dann wieder zu sagen, so jetzt kannst du wieder eine Weile drauf verzichten und genauso mache ich es auch mit allen anderen Bereichen.",1
2497,3191,  Also morgen gehts los ,2
529,3356,"  Disziplin war nicht ganz einzuhalten und ich kann wohl froh sein, dass ich nicht zugenommen habe...",1
2340,2174,"  Leider bin ich seit einem halben Jahr weit davon entfernt, jeden Tag ein neuer Kampf.",0
973,3084," Ich habe 3 Jahre lang eine kognitive Verhaltenstherapie gemacht, bei der auch auf die Ursachen des Essverhaltens geguckt wird.",1
3185,1190,"ich achte schon auf ungesunde Fette, auf Fette generell...",1
1343,1915," das ist eine ganz andere situation als wenn man wieder zu hause ist und daher denke ich einfach, das es für mich auch der falsche weg wäre.",0
1802,327," Ich denke mir, dass ich mal ein paar Tage mich komplett kohlehydratfrei ernähren muss um den Insulinspiegel zu senken.",0
1654,4537," Habe mir Videos angeschaut, wo auch die häufigsten Fehler besprochen wurden.",1
5551,2860,Das werde ich nicht mehr tun.,1
4103,2695,"Ich wusste nicht, was ich bestellt habe.",1
3420,3230, Und kcal esse ich laut fddb genug.,1
2601,4130, Ich habe mich seit langer Zeit körperlich nicht mehr so wohl gefühlt.,0
5269,99,Kann es heute nicht geben.,0
3311,4531," Klar fände ich es auch schöner, wenn das Gewicht kontinuierlich runter gehen würde, aber mit Schwankungen muss und kann ich leben.",0
2584,595,  ich bin nur noch gefrustet die waage geht nicht nach unten...,0
1696,4636,"    Letztes Jahr war es der Camino (Jakobsweg 750 km), den ich unbedingt laufen wollte, trotz meines hohen Gewichts, schlechter Kondition etc Ich bin ihn gelaufen, nicht so wie die meisten anderen, viel langsamer, habe den Weg auch um 200 km abgekürzt, aber ich bin 550 km gelaufen, bin in Santiago de Compostela angekommen.",1
4719,754,Es passiert.,0
4916,2880,Ich bin sehr fröhlich.,0
1922,2320,"  Mein ""neues Leben"" beginnt nächste Woche und ich bin froh, dass meine KK direkt die Kostenübernahme zugesagt hat.",2
272,202,"   Hallo ihr beiden - ihr habt ja recht - ich weiß ganau wo der Hase begraben liegt - ich denk, die guten Seiten an mir verstecken sich hinter meiner imensen Fett(Schutz)hülle, so dass ich sie gar nicht sehen kann - oder will...",0
4653,1520,Kein Gerede mehr.,2
3895,2682,Im Moment ist das alles Müll.,0
3768,2915, Meine Ernährung ist anscheinend zu hochkalorisch und es fehlt Sport.,0
2308,3464,  Ich habe den UHU geschafft     und freue mich wieder mal riesig.,0
5123,678,Darüber habe ich nachgedacht.,2
1008,4720," Ich habe irgendwann rausgefunden das ich gegen 12,3 Uhr noch mal ne Zwischenmahlzeit brauche.",0
3110,4463, Sollte eigentlich doch machbar sein.,0
5375,265,"Ich genieße es nicht, in der Kurve zu sein.",0
1465,3462, Jeder noch so kleine Erfolg ist ein Erfolg!!,0
5480,2756,"Ich glaube nicht, dass es einfach ist.",0
167,4196," Gestern war dann wieder ein ""normaler"" Tag mit Intervallfasten.",1
1511,3962,  Aus der Ernährungsberatung konnte ich viele Denkanstösse mitnehmen.,0
1999,4614," Erst als ich mir selbst geholfen habe mit der OP, ging es aufwärts, und jetzt, seit ich das wirklich weiß, warum es immer so war, bin ich leichter.",1
2976,4335,  Mir war es schon fast ein bisschen peinlich.,0
1362,3785," Was nie ging, war das Wellnessessen am Abend abzulegen.",0
4427,1521,Geh nicht weg...,2
5656,4297,"Das erste Interview, das in der Gegend startet.",0
3098,3256," Ich bin wirklich mit Abstand die einzig ""richtig Übergewichtige"" unter lauter Studenten.",0
5649,4297,Das erste Interview in der Gegend startet.,0
2904,4349," Aber was solls, ich kann es jetzt auch nicht mehr ändern, nur für die Zukunft  einiges anders machen.",0
341,2596,  Im Moment versuche ich überall es geht auf KH zu verzichten.,1
949,1792," Ich habe eine ziemlich lange ""dicke"" Leidensgeschichte hinter mir...",0
667,4507," Bei dem Wetter habe ich trotzdem viel zu viel Hunger, keine Spur von Appetitlosigkeit.",0
4364,2823,Ich war schon auf einer Skala.,1
3568,638," aber wenn man die andere Seite anschaut, ich habe genauso langen Weg noch vor mir..",0
3444,3054, Durch meine Beschwerden ist meine Lebensqualität stark reduziert und für mich kann es so nicht weiter gehen.,0
2200,2978," Und das, obwohl es nicht mal meine Lieblings-Süßigkeiten sind!",1
1404,3073,     Natürlich ist das ein antrainiertes Verhaltensmuster.,0
4042,4136,Mein Hautzustand ist GONE.,0
1100,2459, Hab mich selber beruhigt und abgelenkt.,1
435,3816," Auch ohne Ana, Binge eating oder ähnliche Essstörung habe ich doch auch eine gestörte/krankhafte Einstellung zum Essen.",0
561,2669, Ja klar verteilt sich mein Gewicht ganz gut.,0
3889,2910,"Ich dachte nicht, dass es möglich wäre.",0
3701,4587,"  Habe rausgefunden, dass ich wahrscheinlich auch gegen Restriktionen von außen rebelliere, und dieses innere kleine Kind sich einfach nichts mehr sagen lassen will, und wenn es nur beim Essen Sieger bleibt, aber wenigstens da.",0
622,4049," Habe das Fasten bis um 12,3 Uhr durchgezogen und dann eine Kleinigkeit gegessen und dann ab 12,3 Uhr wieder gefastet.",1
5050,743,Ich gehe ohne Medikamente aus.,1
963,1957," also bei mir ist das so gewesen  ;)  essen als nette nebensache,ohne das ständige denken daran,war mein ziel.",0
4356,2823,Ich war auf einer Skala.,1
1833,589,"und nein, als ob es schon so nicht reichen würde, ich esse wie ein hungriger Hund, den ganzen Tag...",1
4450,3231,Ich habe alles abgebrochen und es wieder gegeben.,1
1525,3579," Ich persönlich hatte mit der Zunahme massive Probleme, so dass ich im Februar einen ""Schnitt"" machte -> siehe   Ich habe immer wieder Schwankungen, aber letztendlich geht der Trend nach unten.",1
2720,768," Allerdings stehen die Chancen schlecht, da in der Gruppe im Landkreis Friesland bisher zu wenig Anmeldungen sind.",0
923,4080,  Ich könnte soooo kotzen..,0
4673,4263,"Was von hinten los ist, ist, womit ich angefangen habe.",1
1872,295,"   Zum Glück geht mein Mann heute abend nicht zu seinem wöchentlichen Stammtisch, dadurch mache ich mir jetzt auch brav meinen leckeren Joghurt zum Abendessen.",2
5366,2663,Ich bin jetzt fertig.,1
1059,2519, Selbstständig kann ich nirgendwo mehr hin.,0
4748,1936,"Ja, und ich bin sehr glücklich mit dem Hammer.",0
3854,5,Es will nicht wegen mir sterben.,0
2106,2042,"  Und ich glaube ich kann sagen,meine Eßstörung ist komplett weg.",0
2358,286,"  Morgens nehme ich mir dann wieder vor, mich um eine vernünftige Ernährung zu kümmern, aber ich schaffe es einfach nicht, über ein gesundes Frühstück hinweg.",0
2316,130,  Ich will nur nicht untätig bleiben.,0
4747,1936,Ich bin sehr zufrieden mit dem Hammer und seinem Gewicht...,0
2328,562,"  ich habe in meinen leben schon so viele diäten gemacht die kann man garnicht aufzählen, ich habe so oft abgenommen und alles wieder doppelt rauf bekommen,meine haut sieht sehr mitgenommen aus :(    also....",0
2270,502,"  allerdings mein nächstes Ziel sobald ich durch meine Gewichtsabnahme noch agiler werde, es zu schaffen, dass es mindestens 4 Kilo pro Monat sind, etwas mehr wären natürlich mir willkommener, da ich aber in dem einen Jahr gelernt habe: Geduld ist dein Meister!",2
4258,4460,"Es läuft alles besser, wenn ich in der schnellen Phase bin.",0
1550,2350, das nehme ich in Kauf - nicht gerne - aber ich tu es.,0
5692,649,"Ich bin die ""wiedergebaute"" Person, die nichts verliert.",0
409,3147, Der erste Punkt betrifft die Beobachtung meines Essverhaltens.,2
4868,1112,"Ich glaube nicht, dass du das kannst.",0
4947,3971,Das ist der Weg.,0
2639,3439," Aber auch wenn ich, Mitte 50ig, Alleinstehend ohne Job dastehe, geht es mir so gut wie seit langem nicht.",0
1226,4553," Ich darf mich jetzt einfach nicht gehen lassen, sondern dran bleiben.",0
1626,4274," In solchen Situationen habe ich immer das Problem, dass die Motivation flöten geht und ich dann denke, es bringt eh alles nichts, und außerdem springt dann wieder der Mechanismus ""Essen als Trost"" an.",0
199,4488, Habe dann das Gefühl von zentnerschweren Steinen im Magen.,0
2675,463,"  Ein Programm brauch ich nicht, denn den Sport mache ich in eigenregie (Nordic Walking, Schwimmen und Radfahren) und Ernährungsberatung und Abnehm-Betreuung ist Teil meiner beruflichen aufgaben, da brauche ich wirklcih auch keine Anleitung.",1
3804,2551,"Ich glaube nicht, dass es eine gute Idee ist, eine Intervention zu machen und mein Leben zu ändern.",0
1868,3621," Wie ich laufen umgehe, weil es im unteren Rücken schmerzt.",0
2342,2930," Ist eine tolleLeistung ich weiss ,aber wenn nichts mehr geht ist es auch nicht gut.",0
5179,2958,Ich bin nicht glücklich mit der Form meiner oberen Brust.,0
3168,2366," Wenn ich den Sport entsprechend anpasse, sollte es gut funktionieren.",0
407,2326," In Prozentzahlen sind das 33,7 Prozent von meinem Übergewicht (ein verdammtes Drittel!!!!",0
393,4230," Wo ein Wille ist, ist auch irgendwie ein Weg, andere allein erziehende mit Vollzeitjob haben das auch geschafft.",0
5590,3207,Es passiert.,2
2348,1623," ich habe mich zumindest entschieden,das ich das nicht mehr will....",0
1445,1239,"  Ich tue mich im Moment auch etwas schwer, aber ich nehme Gott sei Dank nicht zu, aber leider auch nicht ab.",0
707,1849, Mache jetzt dreimal die Woche ca1std Sport.,1
2793,3044," Ich fühle mich gut, ich mache Sport, ich arbeite viel, gehe mit Freundinnen weg, gehe meinen Hobbies nach - läuft bei mir.",0
3295,2234,"  Ja, das kenn ich auch bzw so ähnlich: den ganzen tag hab ich keine probleme mit wenig und kontrolliert essen.",0
4037,1941,Es gibt Links zu anderen Websites.,1
4390,1582,Ich habe keine Ahnung.,0
2747,4004,"  Das bedeutet bei mir, dass ich tagelang versuche mich an meine Essenspläne zu halten und permanent scheitere, weill ich dauernd Futter suche (und es esse..",0
3164,141, Das motiviert mich natürlich.,0
5753,1495,"Auch wenn es gesund ist, hat es sich eingekrochen.",0
4006,3336,Du musst allein vor Gericht gehen.,0
2952,265," Allmählich macht es mir nämlich keinen Spaß mehr, wie ein Schluck Wasser in der Kurve rumzuhängen.",0
640,916, aber das ist ja so schwer.,0
5217,1704,Krampfanfälle.,1
1515,1923," leute mit job, kindern und anderen aufgaben schaffen das aber nicht.",0
5564,7,Was machen Sie mit Ihrer Familie?,0
4127,2791,"Ich denke, das ist nicht richtig.",0
902,1722,und es auch kaum bis gar net schaffe für genügend bewegung zu sorgen.,0
2960,471, Den Rest schaffe ich in der Therapie.,0
4435,1521,Du musst gehen...,2
1182,4213, Daran halte ich mich nun auch.,1
3930,1009,888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-270-6611 888-270-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611-6611-6611 888-270-6611-6611-888-270-66-66-66-6611-66-868-,0
1816,78,"  So, da ich ja nun ohne OP abnehmen möchte und auch werde (!!!",0
2658,3160,  Es geht weiter...,2
1189,874,"Ich habe in einer Woche 2 Kilo abgenommen und oh Wunder,keine  Heißhungerattacken auf Süsses mehr.",0
5125,678,Ich habe darüber nachgedacht.,2
627,2738,  Manchen Essenseinladungen werde ich einfach aus dem Weg gehen.,2
5324,4669,Ich muss darüber nachdenken oder nicht.,2
399,2302,"  Hallo Leute,  ich hatte vorigen Freitag einen Termin bei einem Ernährungsmediziner (DGEM/DAEM) bei dem wir fast eine ganze Stunde ausführlich über meine Vorgeschichte und die verschiedenen Behandlungsmethoden sprachen.",1
3783,950,"Es wäre nicht passiert, wenn der Hurensohn nicht gewesen wäre.",0
716,4114,"  Jetzt arbeite ich seit Januar nur noch 3 Tage pro Woche, deshalb hätte ich jetzt die Chance, vielleicht was zu ändern, zumindest an den Nicht-Arbeitstagen.",0
481,592," kaum bin ich woche vor meine Days schon habe ich nur noch hunger,...",0
2965,302, Jetzt gibt´s erstmal Frühstück  :kaffee: und dann fahre ich um 10 Uhr zum Reha-Sport  :sport:.,2
4507,1291,Zuerst war es ermüdender wegen des Nullzustandes.,1
908,2441,   Aktuell nehme ich an einer Studie der Uni Mainz zur Impulskontrolle des Essverhaltens teil.,1
3381,3912," Nun sind  es wieder 700 gr weniger und daran habe ich richtig Freude, jetzt sind es noch 4,4 Kilos bis auch ich ein UHU bin.",0
2392,53," In Freizeitparks wie dem Heide Park musste ich mit meinem Sohn aus einem Gefährt aussteigen, weil die Sicherungsfunktionen nicht griffen, aufgrund meiner Masse.",0
2644,3620,"  Was die anderen nicht sehen, spüre ich.",0
4181,2714,Ich bin nicht ausgeschaltet in ein schlankes Ich.,1
4185,2742,Nach mindestens ein paar Jahren ist die beste op nox nützlich.,0
248,2053, 40 kilo weg.,0
4883,899,Ich fühle mich schlecht.,0
4303,2015,"Ich glaube nicht, dass ich mich danach sehnen werde.",0
2356,2246," Ich möchte _vorher_ einen Plan haben, wie ich da gegensteuern kann bzw will ich ein Gespür dafür haben, wenn mein Weg in eine falsche Richtung geht.",0
1753,4121," Der einzige Lichtblick ist, dass ich momentan manchmal tatsächlich denke ""ich brauche das jetzt nicht"", wenn mir der Gedanke an Essen kommt.",1
3947,4145,Ist mir egal.,0
2314,3798,  Bei mir sind diese kreisenden Gedanken um die Nahrungsaufnahme definitiv totales Suchtverhalten.,0
5739,220,Mir ist auch im Sport kalt.,1
5731,220,Im Sport ist mir sehr kalt.,1
1201,3360, Nun sind keine OP`s mehr zu erwarten und so kann ich auch wieder mehr Treppen laufen.,0
4357,2823,Ich bin gerade auf einer Skala.,1
1668,118, Durchhaltevermögen finde ich auch in meinem Frauenfitnessstudio.,1
853,4187,"  Am Freitag bin ich mit dem Bus ins Dorf gefahren (hatte ja Physio) und danach wieder nach Hause gelaufen, ohne Bus oder Taxi.",1
4402,1181,Ich könnte mich leicht durch meinen Magen abschneiden.,0
3261,2405,Sport mach ich eigentlich gern habe mehr oder weniger immer was gemacht.,1
4136,2791,"Ich glaube nicht, dass es stimmt.",0
1304,3068,  So empfinde ich das für mich aber nicht.,0
4267,1662,"Ich trinke, seit ich etwas durchgemacht habe.",1
2916,955,"somit bin ich nicht bald endlich ein ""UHU""...",0
424,4303," Sollte ich nach einem Sleeve doch noch einen Umbau zum Bypass benötigen, wäre das stillgelegte Zeug ja auch nicht mehr da..",0
2189,796,"Leider Gottes habe ich erst nach dem Frühstück den entschluß gefasst :( So möchte ich heute loslegen und hoffe,das ich hier etwas Motivation bekommen kann.",0
1484,1374," Ich will schließlich nicht 100 sein,bevor ich in Größe 38 passe   Liebe grüße und danke für eure Worte.",0
4158,2052,Es wurde von mir gemacht...,0
5069,3330,"Weißt du, ob du eine fette Schürze an hast?",0
1094,2222," Für mich stellt das auch eine Indikation für eine Magen-OP dar, auch wenn es ein grosser Eingriff ist, dafür meist ein effizienter.",0
4502,1291,"Zuerst war es anstrengender, weil es keine Bedingung gab.",1
4695,2252,Wem gefällt es nicht?,0
1176,3402," Ich habe mir ein Ziel gesetzt, bis Ende des Jahres möchte ich noch mindestens 15- 20 Kg abgenommen haben.",2
3022,4345," Klar ist, dass wenn einiges oben rein geht und unten nichts rauskommt, dass ich dann nicht abnehmen kann.",0
4970,3658,Der Grundumsatz ist nach Angaben des Computers zurückgegangen.,0
108,3712,"  Dann bleibt nur noch die Gesundheit übrig, die mit weniger Gewicht sicher auch stabil bleiben würde.",0
705,947,"  Jetzt lasse ich einfach Brot, Nudeln, Kartoffeln und Kartoffelprodukte, Milch und Joghurt weg.",1
4567,705,Das werde ich jetzt nicht tun.,2
4982,2881,Ich sehe die Bewegung nicht.,0
5744,3516,"Ich mach das, kein Problem.",2
5026,577,So mache ich meinen Job.,2
887,1363," Ich muss noch genug selbst leisten, um das Gewicht wirklich loszuwerden.",0
955,350," komisch, denn ich bin seit ""paar"" Tagen extrem Energy geladen, gut gelaunt, fühle mich wie ne Feder   heute kam auch schon die Antwort von einer möglichen Psychologin, bleibt nur noch zu hoffen, dass sie zu mir passt (oder ich zu ihr) und die Kasse da mitmacht ;)   ich weiß nicht was passiert ist, aber irgendetwas ist passiert.....",0
196,4640, Heute habe ich beim Mittagessen schon mal 7 Gemüsesorten geschafft.,1
5430,3699,"Es ist Zeit, dem Autor etwas zurück zu schicken.",0
3257,615, Ich habe sowieso bald einen Termin bei meinem Ernährungsarzt und werde mit ihm darüber sprechen.,2
1057,1044, Ich konnte da nicht mehr hinterher rennen.,0
2049,1933,"  diese rennerei vom keller bist zum speicher ist soooo anstrengend    nichts kann mal in leichten wellen laufen,nein es muß wohl immer tsunamistärke haben.",0
488,2452, aber ich bin irgendwie so blockiert gegen das thema therapie.,0
4128,2791,"Ich glaube nicht, dass es richtig ist.",0
4928,3023,Ich bin nicht in der Nähe von Adi.,0
334,1375," Essen ist nicht das Wichtigste im Leben, man kann auch mit wenig auskommen und glücklich sein.",0
1666,1953,"  heute ist das erste Jahr um, ich habe auf den tag genau vor einem jahr angefangen, mein leben mit samt ernährung umzustellen.",1
4143,3667,"Du bist versucht, es geschehen zu lassen.",0
1739,2096,"  da ich mich absolut nicht merh wohl fühele, und schon viel ausprobiert habe, entschied ich mich für die op um endlich in ein gutes leben zu starten...",0
558,1709,"  essen erfüllt eine aufgabe,ich benutze es.",0
3309,2860, Das lasse ich jetzt aber bereits wieder weg.,1
3351,1644,"  Hallöchen,  ich war gestern das erste mal in meinem Leben beim Aquafitness,und was soll ich sagen?",1
5421,102,"Ich liebe es, einen neuen bei hm zu haben.",0
5667,3204,"Ich bin mir nicht sicher, ob ich Angst vor einem Gramm weniger habe.",0
3286,1608,  Also seid drei tagen nehme ich jetzt abends dieses eiweißshakezeugs.,1
3237,4503," Jetzt wäre vermutlich der Moment gekommen, mit Sport anzufangen..",0
1861,4384,"  ich muss essen um abzunehmen, im Idealfall mit soviel Eiweiß wie möglich.",0
4183,2714,Ich habe keine Operation.,1
5284,646,"Ich habe die Entscheidung getroffen, es auszuziehen.",1
1440,3078," Also ist Essen einfacher, weil immer verfügbar.",0
