"utterance_id","turn_id","chat_id","datetime","user_utterance","valence","valence_score","label","label_score","sublabel","sublabel_score","bot_action","bot_datetime","bot_utterance","user_rating","user_rating_explanation"
11,11,1,"2023-07-27 14:01:42.803373","Ich denke diese Ansätze können mir schon sehr weiterhelfen! Was ist, wenn ich wenig Arbeit zu tun habe? Wie verhindere ich Prokrastination wenn mein Aufgabenpensum klein ist?","change",0.8153855800628662,"Reason",0.9960519671440125,"ability",0.9286298751831055,"Next Steps","2023-07-27 14:01:47.410558","Verstanden! Bitte verrate mir abschließend nochmal was dein nächster Schritt konkret sein wird.","schlecht/unpassend","Ich habe in meiner Nachricht eine Frage gestellt, die nicht vom Bot beantwortet wurde."
12,12,1,"2023-07-27 14:03:12.549295","Mein nächster Schritt wird sein, meine ToDos zu sortieren und nach Prioritäten zu ordnen. Das wird mir helfen, mich auf das wesentliche zu fokussieren und nicht in meiner Workload unterzugehen.","change",0.9992892742156982,"Commitment",0.9973236322402954,NULL,NULL,"Goodbye","2023-07-27 14:03:14.254189","Vielen Dank für deine Offenheit in unserem Gespräch. 
                            Ich hoffe es hat dir dabei geholfen, deinem Ziel zumindest gedanklich etwas näher zu kommen.",NULL,NULL
13,1,2,"2023-07-27 14:14:29.246236","start",NULL,0,NULL,0,NULL,0,NULL,"2023-07-27 14:14:30.95349","Hallo! Ich bin MIcha, dein Motivations-Chatbot. 
                            Mein Ziel ist es, dir dabei zu helfen, dein Verhalten zu reflektieren und dich dabei zu unterstützen dir einen Plan für deine Verhaltensänderung zu erarbeiten. 
                            Bitte denke über meine Fragen genau nach und sieh sie vorwiegend als Gedankenanstöße, die dich mental näher an dein Ziel bringen. 
                            Ich bin nicht dafür da, dir Tipps oder Handlungsempfehlungen zu geben, sondern dafür, dir über deine Beweggründe und Werte klar zu werden. 
                                
                            Über welche Verhaltensänderung möchtest du heute sprechen?",NULL,NULL
14,2,2,"2023-07-27 14:14:58.374135","Ich möchte mich gesünder ernähren",NULL,0,NULL,0,NULL,0,NULL,"2023-07-27 14:15:00.583867","Du möchtest also gesünder essen. Kannst du mir etwas darüber erzählen, warum dir diese Veränderung wichtig ist?",NULL,NULL
15,3,2,"2023-07-27 14:15:37.318686","Durch viel Arbeit, Grillfeste und wenig Zeit habe ich meine Ernährung schleifen lassen und möchte gesund wieder abnehmen",NULL,0,NULL,0,NULL,0,NULL,"2023-07-27 14:15:41.096889","Wie bereit bist du auf einer Skala von 0 (überhaupt nicht) bis 10 (sehr) diese Veränderung durchzuführen?",NULL,NULL
16,4,2,"2023-07-27 14:15:47.624713","7",NULL,0,NULL,0,NULL,0,NULL,"2023-07-27 14:15:49.579906","Eine 7. Du stehst dieser Veränderung also insgesamt positiv gegenüber. Kannst du mir etwas mehr über diese Einschätzung sagen? Warum hast du keinen höheren oder niedrigeren Wert angegeben?",NULL,NULL
17,5,2,"2023-07-27 14:16:30.120429","Ich bin motiviert, aber kenne mich gut genug, dass diese Motivation manchmal genau so schnell wieder verschindet wie sie gekommen ist","change",0.998898983001709,"Reason",0.9989808201789856,"General Reason",0.9945502877235413,NULL,"2023-07-27 14:16:36.837013","Wie könntest du sicherstellen, dass deine Motivation bestehen bleibt","gut/hilfreich",NULL
18,6,2,"2023-07-27 14:17:28.474844","nichts zu zeitaufwändiges und keine extremen einschränkungen","change",0.965577244758606,"Reason",0.9717454314231873,"General Reason",0.9737235307693481,NULL,"2023-07-27 14:17:36.094771","Welche konkreten Schritte könntest du unternehmen, um deine Ernährung zu verbessern, ohne dass es zu zeitaufwändig oder einschränkend ist","schlecht/unpassend","irgendwie kommen hier gar keine passenden vorschlage sondern ich muss mich selbst analysieren"
19,7,2,"2023-07-27 14:19:24.515731","einfache gesunde Gerichte, die schnell zu kochen sind und satt machen","change",0.9971876740455627,"Reason",0.9557834267616272,"General Reason",0.9917395114898682,NULL,"2023-07-27 14:19:29.535678","Was könnte dich davon abhalten, diese gesunden, einfachen Gerichte zuzubereiten","schlecht/unpassend","irgendwie bekomme ich hier keine Hilfe sondern nur ein nerviges Gespräch aufgedrückt"
20,1,3,"2023-07-27 14:19:46.295289","start",NULL,0,NULL,0,NULL,0,NULL,"2023-07-27 14:19:48.774473","Hallo! Ich bin MIcha, dein Motivations-Chatbot. 
                            Mein Ziel ist es, dir dabei zu helfen, dein Verhalten zu reflektieren und dich dabei zu unterstützen dir einen Plan für deine Verhaltensänderung zu erarbeiten. 
                            Bitte denke über meine Fragen genau nach und sieh sie vorwiegend als Gedankenanstöße, die dich mental näher an dein Ziel bringen. 
                            Ich bin nicht dafür da, dir Tipps oder Handlungsempfehlungen zu geben, sondern dafür, dir über deine Beweggründe und Werte klar zu werden. 
                                
                            Über welche Verhaltensänderung möchtest du heute sprechen?",NULL,NULL
21,8,2,"2023-07-27 14:20:15.218607","wenig Zeit","change",0.9358991384506226,"Reason",0.8599375486373901,"General Reason",0.9794365763664246,NULL,"2023-07-27 14:20:21.088174","Wie könntest du trotzdem Zeit dafür finden, gesunde Gerichte zuzubereiten","gut/hilfreich",NULL
22,2,3,"2023-07-27 14:20:18.155567","Ich möchte mich gesünder ernähren",NULL,0,NULL,0,NULL,0,NULL,"2023-07-27 14:20:19.858074","Du möchtest also gesünder essen. Kannst du mir etwas darüber erzählen, warum dir diese Veränderung wichtig ist?",NULL,NULL
23,9,2,"2023-07-27 14:20:59.71624","mein restliches Leben irgendwo einschränken","change",0.9784379005432129,"Reason",0.9971977472305298,"General Reason",0.9706546068191528,NULL,"2023-07-27 14:21:05.263072","Wie könntest du sicherstellen, dass gesundes Essen in deinem Alltag Priorität hat, ohne dass andere Bereiche deines Lebens darunter leiden","schlecht/unpassend","das ist mehr eine geführte Psychoanalyse und nervig als wirklich hilfreich"
24,3,3,"2023-07-27 14:21:51.157856","Es geht nicht vorrangig darum, Gewicht zu verlieren, sondern vielmehr darum, dass ich nachhaltig meine Ernährung gesünder gestalten will. Gesunde Ernährung ist ja mehr als nur das Essen, sondern hilft auch, dass man sich allgemein im Körper wohler fühlt.",NULL,0,NULL,0,NULL,0,NULL,"2023-07-27 14:21:55.256221","Wie wichtig ist dir diese Veränderung auf einer Skala von 0 (überhaupt nicht) bis 10 (sehr)",NULL,NULL
25,10,2,"2023-07-27 14:21:58.416931","keine Ahnung, sag du es mir","change",0.7072789072990417,"Reason",0.991015613079071,"General Reason",0.9776036739349365,"Summary","2023-07-27 14:22:11.942606","Lass mich unser bisheriges Gespräch zusammenfassen. Vielleicht könntest du versuchen, Mahlzeiten im Voraus zu planen und zu kochen, damit du auch in stressigen Zeiten gesunde Optionen zur Hand hast. Du könntest auch versuchen, gesunde Snacks bei dir zu haben, um nicht in Versuchung zu kommen, ungesunde Optionen zu wählen. Du könntest auch versuchen, deine Mahlzeiten um gesunde und sättigende Lebensmittel wie Gemüse, Vollkornprodukte und Proteine zu bauen, um dich länger satt zu fühlen. Habe ich noch etwas vergessen?","gut/hilfreich","endlich mal etwas hilfreiches "
26,4,3,"2023-07-27 14:22:09.674931","7",NULL,0,NULL,0,NULL,0,NULL,"2023-07-27 14:22:11.439733","Eine 7. Du stehst dieser Veränderung also insgesamt positiv gegenüber. Kannst du mir etwas mehr über diese Einschätzung sagen? Warum hast du keinen höheren oder niedrigeren Wert angegeben?",NULL,NULL
27,11,2,"2023-07-27 14:23:12.416604","ich weiß es nicht, aber klingt gut","change",0.77904212474823,"Reason",0.997267484664917,"General Reason",0.9931299090385437,"Next Steps","2023-07-27 14:23:14.523975","Verstanden! Bitte verrate mir abschließend nochmal was dein nächster Schritt konkret sein wird.","gut/hilfreich",NULL
28,5,3,"2023-07-27 14:23:32.919946","Es ist mir durchaus wichtig, aber ich würde der Veränderung nicht alles unterordnen. Ich habe also durchaus auch wichtigere Ziele, daher habe ich keinen höheren Wert gewählt. Gleichzeitig möchte ich die Veränderung aber wirklich umsetzen.","change",0.9987782835960388,"Reason",0.998742401599884,"desire",0.9920781254768372,"Continuing the Paragraph","2023-07-27 14:23:40.040424","Das macht Sinn. Du möchtest also eine Balance zwischen deinem Ziel, dich gesünder zu ernähren, und anderen wichtigen Aspekten deines Lebens finden. Was könnte dich unterstützen, um diesen Balanceakt zu meistern","gut/hilfreich","Ein kurzes Zeichen des Verstehens und die Zusammenfassung des Verstandenen ist gut, um zu wissen, dass alles verständlich ist."
29,12,2,"2023-07-27 14:23:43.262134","Ich probiere es mit Meal prep","change",0.9990757703781128,"Commitment",0.5033175349235535,NULL,NULL,"Goodbye","2023-07-27 14:23:45.931132","Vielen Dank für deine Offenheit in unserem Gespräch. 
                            Ich hoffe es hat dir dabei geholfen, deinem Ziel zumindest gedanklich etwas näher zu kommen.",NULL,NULL
30,6,3,"2023-07-27 14:26:23.313753","Ich weiß bereits, dass mir die Umstellung schwer fallen wird. Wichtig ist es also für mich eine Methode zu finden, die nachhaltig für mich funktioniert, damit ich nicht schnell in alte Muster verfalle.","change",0.9983986020088196,"Reason",0.9982605576515198,"need",0.9204249978065491,"Querying Extremes","2023-07-27 14:26:31.170944","Es ist klar, dass du eine nachhaltige Methode suchst, um gesünder zu essen, ohne in alte Muster zu verfallen. Was wäre das beste Ergebnis, das du dir von dieser Veränderung erhoffst","schlecht/unpassend","Der erste Satz ""es ist ja eh klar, was du suchst"" wirkt etwas herablassend. Die Frage danach ist gut."
31,7,3,"2023-07-27 14:29:03.611054","Ein gesünderes Leben im Allgemeinen, in dem ich mir auch im Alltag genug Zeit nehme, um frisch zu kochen. Wenn ich allgemein gesünder lebe, erhoffe ich mir, dass ich auch glücklicher und zufriedener und natürlich gesund lebe.","change",0.9993158578872681,"Reason",0.9562312960624695,"desire",0.7684212327003479,"Looking Forward","2023-07-27 14:29:12.731831","Es ist bewundernswert, dass du dir eine Zukunft vorstellst, in der du dir bewusst Zeit nimmst, um frisch zu kochen und dadurch gesünder, glücklicher und zufriedener zu leben. Wie siehst du dich selbst in dieser Zukunft, in der du dich gesünder ernährst","schlecht/unpassend","Grundsätzlich in Ordnung, aber die Wiederholung jedes einzelnen Satzes, den ich geschrieben habe, ist etwas ermüdend."
32,1,4,"2023-07-27 14:31:38.896736","start",NULL,0,NULL,0,NULL,0,NULL,"2023-07-27 14:31:40.36707","Hallo! Ich bin MIcha, dein Motivations-Chatbot. 
                            Mein Ziel ist es, dir dabei zu helfen, dein Verhalten zu reflektieren und dich dabei zu unterstützen dir einen Plan für deine Verhaltensänderung zu erarbeiten. 
                            Bitte denke über meine Fragen genau nach und sieh sie vorwiegend als Gedankenanstöße, die dich mental näher an dein Ziel bringen. 
                            Ich bin nicht dafür da, dir Tipps oder Handlungsempfehlungen zu geben, sondern dafür, dir über deine Beweggründe und Werte klar zu werden. 
                                
                            Über welche Verhaltensänderung möchtest du heute sprechen?",NULL,NULL
33,8,3,"2023-07-27 14:32:07.502514","Ich sehe mich dabei ausgeglichener und zufriedener. Vielleicht auch mit weniger Gewicht, wobei ich das eher als Nebensache sehen würde. Ich denke, dass ich mit gesünderer Ernährung fitter wäre.","change",0.9994064569473267,"Reason",0.9992877840995789,"General Reason",0.9960839748382568,"Digging Deep","2023-07-27 14:32:14.461524","Du siehst dich selbst ausgeglichener, zufriedener und fitter durch eine gesündere Ernährung. Was wäre der erste Schritt in Richtung dieses Ziels, den du dir vorstellen könntest","gut/hilfreich",NULL
34,2,4,"2023-07-27 14:32:07.843405","Ich möchte weniger prokrastinieren",NULL,0,NULL,0,NULL,0,NULL,"2023-07-27 14:32:09.879012","Du möchtest also weniger prokrastinieren. Kannst du mir etwas darüber erzählen, warum dir diese Veränderung wichtig ist?",NULL,NULL
35,3,4,"2023-07-27 14:33:00.170967","Ich habe das Gefühl, dass ich nicht effizient Arbeite und dadurch viel Zeit drauf geht, die ich eigentlich mit schöneren Dingen gestalten könnte. Ausserdem habe ich dadurch permanent das Gefühl nicht genug zu tun",NULL,0,NULL,0,NULL,0,NULL,"2023-07-27 14:33:03.368674","Wie zuversichtlich bist du auf einer Skala von 0 (überhaupt nicht) bis 10 (sehr), dass du diese Veränderung durchführen kannst?",NULL,NULL
36,4,4,"2023-07-27 14:33:11.432054","1",NULL,0,NULL,0,NULL,0,NULL,"2023-07-27 14:33:12.962803","Eine 1. Das klingt als stündest du dieser Veränderung nicht allzu zuversichtlich gegenüber. Erzähl mir bitte mehr über deine Einstellung. Warum hast du keinen höheren oder niedrigeren Wert angegeben?",NULL,NULL
37,9,3,"2023-07-27 14:33:38.40659","Da ich gerade Urlaub habe, könnte ich diese Zeit nutzen, um mich in eine neue Routine des Kochens einzufinden. Ich könnte mir nun eine Reihe an gesunden Rezepten heraussuchen, die einfach, schnell, aber gesund sind.","change",0.999363124370575,"Reason",0.9897440075874329,"General Reason",0.4620331823825836,"Looking Back","2023-07-27 14:33:45.486416","Du hast vor, deine freie Zeit zu nutzen, um eine neue Kochroutine mit gesunden Rezepten zu etablieren. Wie würdest du dich fühlen, wenn du diesen ersten Schritt erfolgreich umgesetzt hast","gut/hilfreich",NULL
38,5,4,"2023-07-27 14:33:41.001924","Sorry, die Skala hat nicht richtig funktioniert. Ich würde der Situation eine 5 geben","change",0.9172637462615967,"Reason",0.9981592297554016,"General Reason",0.9505613446235657,NULL,"2023-07-27 14:33:45.466609","Eine 5 also. Was könnte dir dabei helfen, deinen Zuversichtswert zu erhöhen","gut/hilfreich","Wenn ich einen genauen Plan hätte, wie ich das Problem angehen würde "
39,1,5,"2023-07-27 14:33:58.539854","start",NULL,0,NULL,0,NULL,0,NULL,"2023-07-27 14:34:00.368859","Hallo! Ich bin MIcha, dein Motivations-Chatbot. 
                            Mein Ziel ist es, dir dabei zu helfen, dein Verhalten zu reflektieren und dich dabei zu unterstützen dir einen Plan für deine Verhaltensänderung zu erarbeiten. 
                            Bitte denke über meine Fragen genau nach und sieh sie vorwiegend als Gedankenanstöße, die dich mental näher an dein Ziel bringen. 
                            Ich bin nicht dafür da, dir Tipps oder Handlungsempfehlungen zu geben, sondern dafür, dir über deine Beweggründe und Werte klar zu werden. 
                                
                            Über welche Verhaltensänderung möchtest du heute sprechen?",NULL,NULL
40,2,5,"2023-07-27 14:34:30.657562","Ich möchte mich gesünder ernähren",NULL,0,NULL,0,NULL,0,NULL,"2023-07-27 14:34:32.481561","Du möchtest also gesünder essen. Kannst du mir etwas darüber erzählen, warum dir diese Veränderung wichtig ist?",NULL,NULL
41,6,4,"2023-07-27 14:34:36.803796","Wenn ich einen genauen Plan hätte, wie ich das Problem angehen koennte","sustain",0.9079260230064392,"Reason",0.9983106851577759,"ability",0.7088627815246582,NULL,"2023-07-27 14:34:42.351838","Es ist wichtig für dich, einen klaren Plan zu haben. Was könnte der erste Schritt in diesem Plan sein","gut/hilfreich",NULL
42,1,6,"2023-07-27 14:35:02.284959","start",NULL,0,NULL,0,NULL,0,NULL,"2023-07-27 14:35:04.859874","Hallo! Ich bin MIcha, dein Motivations-Chatbot. 
                            Mein Ziel ist es, dir dabei zu helfen, dein Verhalten zu reflektieren und dich dabei zu unterstützen dir einen Plan für deine Verhaltensänderung zu erarbeiten. 
                            Bitte denke über meine Fragen genau nach und sieh sie vorwiegend als Gedankenanstöße, die dich mental näher an dein Ziel bringen. 
                            Ich bin nicht dafür da, dir Tipps oder Handlungsempfehlungen zu geben, sondern dafür, dir über deine Beweggründe und Werte klar zu werden. 
                                
                            Über welche Verhaltensänderung möchtest du heute sprechen?",NULL,NULL
43,10,3,"2023-07-27 14:35:02.399574","Ein wenig stolz vermutlich, da der erste Schritt immer am schwersten ist. Allerdings hätte ich die Sorge, dass meine erste Motivation wieder einschläft, sobald ich wieder weniger Zeit habe und in eine stressige Phase komme.","change",0.9950961470603943,"Reason",0.9992699027061462,"General Reason",0.9953171014785767,"Summary","2023-07-27 14:35:09.766591","Lass mich unser bisheriges Gespräch zusammenfassen. Du rechnest damit, stolz zu sein, wenn du den ersten Schritt geschafft hast, aber du machst dir auch Sorgen, dass deine Motivation nachlassen könnte, wenn du weniger Zeit hast und gestresst bist. Habe ich noch etwas vergessen?","gut/hilfreich",NULL
44,7,4,"2023-07-27 14:35:18.949716","Ein genaues Ziel festlegen, das messbar und realistisch ist (SMART goals)","change",0.9992355108261108,"Commitment",0.9779722690582275,NULL,NULL,NULL,"2023-07-27 14:35:24.285411","Ein klares, messbares und realistisches Ziel zu setzen, scheint ein guter erster Schritt zu sein. Wie könnte dieses aussehen","gut/hilfreich",NULL
45,3,5,"2023-07-27 14:35:37.031093","Weil ich damit hoffe, Unwohlsein und Schmerzen in Gelenken reduzieren zu können.",NULL,0,NULL,0,NULL,0,NULL,"2023-07-27 14:35:40.574068","Auf einer Skala von 0 (überhaupt nicht) bis 10 (sehr), wie interessiert bist du jetzt gerade daran, diese Veränderung durchzuführen?",NULL,NULL
46,11,3,"2023-07-27 14:35:50.804262","Nein, das trifft es soweit gut.","change",0.9989780187606812,"Reason",0.9990253448486328,"General Reason",0.9962452054023743,"Next Steps","2023-07-27 14:35:52.788278","Verstanden! Bitte verrate mir abschließend nochmal was dein nächster Schritt konkret sein wird.","gut/hilfreich",NULL
47,4,5,"2023-07-27 14:35:55.548179","8",NULL,0,NULL,0,NULL,0,NULL,"2023-07-27 14:35:57.148118","Eine 8. Du stehst dieser Veränderung also insgesamt positiv gegenüber. Kannst du mir etwas mehr über diese Einschätzung sagen? Warum hast du keinen höheren oder niedrigeren Wert angegeben?",NULL,NULL
48,1,7,"2023-07-27 14:35:59.961125","start",NULL,0,NULL,0,NULL,0,NULL,"2023-07-27 14:36:01.905993","Hallo! Ich bin MIcha, dein Motivations-Chatbot. 
                            Mein Ziel ist es, dir dabei zu helfen, dein Verhalten zu reflektieren und dich dabei zu unterstützen dir einen Plan für deine Verhaltensänderung zu erarbeiten. 
                            Bitte denke über meine Fragen genau nach und sieh sie vorwiegend als Gedankenanstöße, die dich mental näher an dein Ziel bringen. 
                            Ich bin nicht dafür da, dir Tipps oder Handlungsempfehlungen zu geben, sondern dafür, dir über deine Beweggründe und Werte klar zu werden. 
                                
                            Über welche Verhaltensänderung möchtest du heute sprechen?",NULL,NULL
49,8,4,"2023-07-27 14:36:06.196497","Eine bestimmte Stundenzahl festlegen in der ich bestimmte Dinge erledigt haben will","change",0.9978765249252319,"Reason",0.753079891204834,"desire",0.9846599102020264,NULL,"2023-07-27 14:36:13.572266","Eine bestimmte Stundenzahl festzulegen, in der du bestimmte Dinge erledigt haben willst, scheint für dich ein machbares Ziel zu sein. Wie wirst du sicherstellen, dass du diesem Ziel treu bleibst","gut/hilfreich","Gute Frage"
50,2,7,"2023-07-27 14:36:32.636943","Ich möchte nachhaltiger leben",NULL,0,NULL,0,NULL,0,NULL,"2023-07-27 14:36:34.514377","Du möchtest also nachhaltiger leben. Kannst du mir etwas darüber erzählen, warum dir diese Veränderung wichtig ist?",NULL,NULL
51,1,8,"2023-07-27 14:36:34.086627","start",NULL,0,NULL,0,NULL,0,NULL,"2023-07-27 14:36:35.751824","Hallo! Ich bin MIcha, dein Motivations-Chatbot. 
                            Mein Ziel ist es, dir dabei zu helfen, dein Verhalten zu reflektieren und dich dabei zu unterstützen dir einen Plan für deine Verhaltensänderung zu erarbeiten. 
                            Bitte denke über meine Fragen genau nach und sieh sie vorwiegend als Gedankenanstöße, die dich mental näher an dein Ziel bringen. 
                            Ich bin nicht dafür da, dir Tipps oder Handlungsempfehlungen zu geben, sondern dafür, dir über deine Beweggründe und Werte klar zu werden. 
                                
                            Über welche Verhaltensänderung möchtest du heute sprechen?",NULL,NULL
52,3,7,"2023-07-27 14:36:54.492423","Damit ich mehr für die Umwelt machen kann.",NULL,0,NULL,0,NULL,0,NULL,"2023-07-27 14:36:58.352452","Wie bereit bist du auf einer Skala von 0 (überhaupt nicht) bis 10 (sehr) diese Veränderung durchzuführen?",NULL,NULL
53,2,8,"2023-07-27 14:37:06.295486","Ich möchte mich gesünder ernähren",NULL,0,NULL,0,NULL,0,NULL,"2023-07-27 14:37:07.984726","Du möchtest also gesünder essen. Kannst du mir etwas darüber erzählen, warum dir diese Veränderung wichtig ist?",NULL,NULL
54,9,4,"2023-07-27 14:37:07.097063","Vielleicht einen sozialen Vertrag mit einer anderen Person schliessen? Oder Ziele genau aufschreben","change",0.9980698227882385,"Reason",0.955089807510376,"General Reason",0.9122382402420044,NULL,"2023-07-27 14:37:16.043408","Das Aufschreiben von Zielen und das Eingehen eines sozialen Vertrages könnten Wege sein, die dir helfen, deinem Ziel treu zu bleiben. Wie könntest du diese Strategien umsetzen","schlecht/unpassend","Die Frage hilft nicht sonderlich weiter"
55,4,7,"2023-07-27 14:37:08.474578","5",NULL,0,NULL,0,NULL,0,NULL,"2023-07-27 14:37:10.669561","Eine 5. Das klingt als stündest du dieser Veränderung nicht allzu zuversichtlich gegenüber. Erzähl mir bitte mehr über deine Einstellung. Warum hast du keinen höheren oder niedrigeren Wert angegeben?",NULL,NULL
56,3,8,"2023-07-27 14:37:22.610941","Ich würde gerne ein paar Kilos abnehmen",NULL,0,NULL,0,NULL,0,NULL,"2023-07-27 14:37:25.956556","Wie bereit bist du auf einer Skala von 0 (überhaupt nicht) bis 10 (sehr) diese Veränderung durchzuführen?",NULL,NULL
57,5,5,"2023-07-27 14:37:24.602434","Weiö ich grunds#tzlich mit meinem Lebens-/Ernährungsstil zufrieden bin, aber dennoch die Hoffnung habe, dass ich mein Wohlbefinden noch verbessern kann.","change",0.9992934465408325,"Reason",0.9992395639419556,"General Reason",0.7916425466537476,NULL,"2023-07-27 14:37:29.923927","Du bist grundsätzlich zufrieden, siehst aber noch Raum für Verbesserungen. Was könnten erste kleine Schritte sein, um diese Verbesserungen zu erreichen","schlecht/unpassend","Wenn ich wüsste, welche Schritte gut oder sinnvoll wären, hätte ich sie bereits durchgeführt!"
