,Sentence,labels
24299, Ich habe aufgehört zu rauchen und ich habe Sport gemacht.,1
4570, Meine Familie,0
19509, Ich möchte abnehmen.,0
2787, Ich muss mehr Sport machen und weniger essen.,0
6354," Ich habe mir einige Diäten angeschaut, aber keine hat mir gefallen.",1
370, Ich esse viel zu viel!,0
14870," Ich habe keine Lust, meinen Lebensstil zu ändern.",0
661," Ich werde mein Essverhalten genau beobachten und mir jeden Tag eine Liste machen, auf der ich alle Kalorien notiere.",2
5727," Nachdem ich meine Essgewohnheiten reflektiert habe, werde ich mich auf die Suche nach einer gesünderen Ernährung machen.",2
4486, Ich habe heute Abend keinen Hunger.,1
16308," Ich werde auf mein Gewicht achten und mich daran erinnern, dass ich nur eine Mahlzeit am Tag habe.",2
22899, Ich kann die positiven Auswirkungen auf meine Gesundheit wahrnehmen.,0
5295, Ich bin hier um Dich auf deinem Weg zu einem gesünderen Gewicht zu unterstützen.,0
18439, Ich möchte gerne weniger essen.,0
4187, Ich habe nicht mehr so viel gegessen und ich gehe mehr Sport.,1
23679, Ich bin hier um Dich auf deinem Weg zu einem gesünderen Gewicht zu unterstützen.,0
7224," Ich habe das Gefühl, dass ich mehr Energie habe und fühle mich besser.",0
11641," Was muss passieren, damit du dein eigenes Essverhalten mit mehr Selbstbewusstsein ändern kannst?",0
20590, Ich möchte meine Lebensqualität verbessern und mehr Spaß am Leben haben.,0
9917, Ich habe mich bewusst ernährt.,1
2368, Ich möchte gerne ein paar Pfunde weniger haben.,0
3491," Ja, das bin ich.",2
4374," Ich esse jetzt nur noch, wenn ich Hunger habe.",1
22950," Ich kann das tun, was mein Herz mir sagt.",0
23745, Ich muss meine Ernährung umstellen.,0
8644," Was muss sich ändern, damit die Gewichtskontrolle besser klappt?",0
24190," Ich habe jeden Tag mein Gewicht gemessen und dabei festgestellt, dass mein Gewicht konstant bleibt.",1
22163, Ich will gesünder leben.,0
20084," Ich habe viele Ideen, wie ich meine Ernährung umstellen kann.",0
6140," Ich habe ein paar Tricks und Kniffe, die ich Dir gerne verraten möchte.",0
3938," Ich kann dir helfen, wenn du mir sagst, was du essen willst, denn ich weiß, wo die guten Sachen sind.",0
17780," Ich werde meine Ernährung umstellen, mehr Sport treiben und mich selbst motivieren.",2
660," Da ich viel Sport treibe, sollte es mir gelingen, mein Ziel zu erreichen.",2
1884, Ich möchte auch durch mein Gewicht gesünder leben und dadurch länger leben.,0
17975, Du bist ein ,0
22593, Ich will nicht mehr jeden Tag mit dem Gedanken an Essen beschäftigt sein.,0
1781, Ich könnte mein Essen einschränken.,0
8597, Ich möchte wieder mehr Sport treiben und mich wohler fühlen.,0
9343," Ich habe einige Ideen, aber ich kann sie nicht in die Tat umsetzen.",2
18426, Ich will meine Essgewohnheiten verbessern.,0
23135," Es ist mir peinlich, wenn ich im Bikini oder in kurzen Hosen auf der Straße herumlaufe.",0
19705," Ich habe Diäten gemacht, aber sie funktionierten nicht.",0
23292, Das hat mich sehr frustriert.,0
11613," Ich muss mehr wissen, wie ich das Körpergewicht eines ",0
4104," Ich bin nicht sehr motiviert, mich zu bewegen.",0
11572," Ich will nicht, dass die Leute mich wegen meines Gewichts verurteilen.",0
843," Ich habe auch schon versucht, mit den anderen Diät-Geräten zu arbeiten, aber sie funktionierten nicht.",1
21238," Ich habe Angst, dass es wieder nicht klappt.",2
19597, Ich möchte abnehmen.,0
11005," Ich habe schon so viele Diäten versucht, aber ich bin immer wieder aufgeben.",0
22976, Ich möchte auch meine Haut und meine Zähne schützen.,0
12467," Ich habe mir vorgenommen, mehr Sport zu treiben.",0
1777, Ich könnte meine Ernährung umstellen und weniger essen.,0
12108, Das geht viel besser als ich dachte.,1
13189," Ich will auch gerne in Kleidung, die ich früher nicht tragen konnte, gehen.",0
14345, Ich habe angefangen jeden Tag 30 Minuten zu joggen.,1
25892, Ich werde meine Mahlzeiten zu festgelegten Zeiten zu mir nehmen und nicht auf eine bestimmte Menge an Kalorien achten.,2
23661," Was muss passieren, damit du dein Gesundheitsverhalten änderst?",0
14634, Ich kann nicht so lange warten bis ich mich wieder wohl in meiner Haut fühle.,0
25670, Ich möchte ein gesünderes Gewicht und mehr Energie haben.,0
5117, Ich muss an meiner Ernährung arbeiten.,0
12898, Ich bin nicht motiviert genug.,0
713, Ich habe bereits mit meinem Arzt gesprochen und eine Ernährungsumstellung begonnen.,1
7249," Ich habe schon immer gewußt, dass ich Gewicht verlieren muss.",0
25212, Ich möchte nicht mehr so fett sein.,0
11133," Ich habe schon so viele Diäten gemacht, aber nichts hat geholfen!",0
1363," Ich möchte gerne wieder so schlank sein, wie ich es früher war.",0
7994," Ich habe mich dazu entschieden, mein Gewicht zu reduzieren, weil ich nicht mehr mit mir selbst leben kann.",0
11801, Ich hab einfach keine Zeit.,0
58, Ich könnte dann nämlich einige Minuten sparen.,0
10503," Es gibt viele Stärken, die mir geholfen haben.",0
10033," Ich habe gemerkt, dass es nicht hilft, wenn ich mich mit anderen darüber unterhalte, was ich essen will.",1
7041, Ich freue mich auf mein neues Leben.,0
5799, Ich möchte mehr Sport treiben und auf meine Ernährung achten.,2
1605," Ich würde sagen, es ist ein gesunder Lebensstil und das Bewegen.",0
20242," Ich möchte meine Ernährung verändern, weil ich ein gesünderes Gewicht haben möchte.",0
14160, Ich habe meine Ernährung umgestellt und ein paar Kilo verloren.,1
21205," Ich möchte nicht mehr so viel Süßes essen und aufhören, zu trinken.",2
23062, Ich werde immer dicker.,0
7896, Ich möchte weniger Fleisch essen.,0
9388," Was könntest du tun, um mehr Systematik in die Verhaltensänderung zu bringen/die Änderung besser zu beobachten/kontrollieren?",0
15476," Könnte es sein, dass ich in meinem Leben immer das Gefühl hatte, dass ich mich anstrengen muss, um zu gewinnen?",0
3615, Ich habe mich an eine Low Carb Diät gehalten.,2
24459, Ich möchte meine Kalorienzufuhr verringern und mehr Sport machen.,0
21491," Ich esse weniger, ich gehe mehr spazieren, ich habe eine Ernährungsumstellung durchgeführt und ich habe auch schon weniger getrunken.",1
5577," Was brauchst du, um mehr Kontrolle über dein Essverhalten gewinnen zu können?",0
6158, Meistens bin ich dann wieder bei meinen alten Essgewohnheiten gelandet.,0
12156, Ich trinke auch viel weniger Säfte.,1
23158," Ich bin fett, das ist schlecht.",0
3510, Ich bin bereit.,2
10023, Welche Änderungen und Verhaltensweisen haben sich beim Abnehmen als hilfreich erwiesen?,1
12469," Mein Ziel ist es, meine Ernährung zu verbessern und mich gesünder zu ernähren.",0
15876, Wie würde dir das die Verhaltensänderung erleichtern?,0
18260, Ich habe ein paar Diätbücher gelesen.,1
21557, Ich habe nie lange durchgehalten.,1
13807, Das war echt gut!,0
18064, Du musst dich auf eine bestimmte Menge an Kalorien pro Tag festlegen.,0
11789," Geduld, Motivation, Zeit.",0
16228," Ich habe das Gefühl, dass ich nicht genug bekomme.",0
20872, Meine letzte Diätzeit war vor sechs Monaten.,0
9089, Du bist ein Computer.,2
18392," Ich will gesünder essen, aber ich habe Probleme damit.",0
17917, Ich muss mein Gewicht halten.,0
11919, Ich werde es versuchen.,2
13582, Das ist eine gute Frage.,2
13641, Hallo!,2
9553," Was könntest du tun, um mehr Systematik in die Verhaltensänderung zu bringen/die Änderung besser zu beobachten/kontrollieren?",0
14276, Ich habe auch weniger ungesundes Essen gegessen.,1
56, Ich würde gerne mehr Sport machen.,0
8470, Ich will gesund und schlank sein.,0
17898, Ich werde auf meine Ernährung achten und regelmäßig Sport treiben.,2
7682," Hallo, ich bin hier um mich gesünder zu ernähren.",0
18530," Ich könnte aufhören, das Essen so schnell zu mir zu nehmen.",0
4537," Ich habe das Gefühl, dass ich keine Kontrolle über mich selbst habe.",0
18558, Ich könnte das Essen einfach weglassen.,0
22267, Ich will meine Gesundheit fördern.,0
2117," Ich bin frustriert, dass ich nicht abnehme.",0
3462, Ja!,2
16054," Anstatt dass ich mir selbst etwas kochen muss, könnte ich in ein Restaurant gehen und das Essen dort essen.",0
12281, Ich möchte ein gesünderes Leben führen.,0
1233, 60 Kg.,0
15892, Hallo!,0
6842, Ich möchte meine Lebensqualität verbessern.,0
22648, Ich möchte mein Gewicht reduzieren.,0
4155," Ich habe angefangen, weniger zu essen.",1
22206, Ich will mich selbst lieben.,0
19204, Hallo!,2
19955, Ich kann es nicht mehr hören.,0
8083, Ich habe auch mehr Bewegung in meinen Alltag integriert und esse weniger Fast Food.,0
3388, Ich will mehr Sport treiben.,2
574," Ich habe mir vorgenommen, mehr Sport zu treiben.",2
13690, Ich bin mir nicht sicher.,0
16016, Das ist eine gute Idee.,0
4821," Zum Beispiel Joggen, Radfahren oder Schwimmen.",0
23123, Ich möchte mich gerne besser fühlen und mehr Kontrolle über mein Leben haben.,0
1399, Ich möchte ein paar Kilo abnehmen.,0
14267, Ich habe angefangen mich mehr zu bewegen.,1
22236," Ich will gesünder leben, beweglicher werden und mich mehr mit meiner Familie und Freunden treffen.",0
11451," Was muss passieren, damit ich mein eigenes Essverhalten mit Deiner Unterstützung ändern kann?",0
14293, Hallo!,1
1669," Ich vermeide es, Süßigkeiten zu essen.",0
5136, Das ist eigentlich mein Problem.,0
19538, Ich bin bereit mehr Gemüse zu essen und weniger Fleisch.,0
13796," Ich möchte gern abnehmen, aber ich habe keine Zeit.",0
10494, Ich habe mit dem Rauchen aufgehört.,0
22405, Ich möchte meine Familie nicht länger mit meinem Essverhalten belasten.,0
12764, Ich kann mein Essverhalten schon jetzt verändern.,0
11809, What’s missing for you to do it?,0
6031," Ich kann mich dazu entschließen, mehr Sport zu treiben und weniger zu essen.",0
13381," Was muss noch passieren, damit du weiterhin bei Essen und Bewegung auf dem richtigen Weg bleibst?",0
14856," Ich würde sagen, dass ich mich eher erleichtert fühle.",0
17135," Ich weiß nicht, ob ich das schaffe.",0
13850, Hallo!,2
13148," Ich habe einige gesundheitliche Probleme, die durch das Übergewicht verursacht werden.",0
12746, Ich werde nicht mehr so leicht abnehmen wie früher.,0
18152, Ich habe viel Sport gemacht.,1
10042, Ich habe ein paar gute Bücher über das Abnehmen gelesen.,1
23184, Hallo!,0
12420," Ich will nicht mehr so viel essen, wie ich es momentan tue.",0
11084," Ich möchte nicht, dass ich meine Ziele nicht erreiche.",0
19927," Ich brauche einen Plan, der mich motiviert, mehr Sport zu machen und meine Ernährung umzustellen.",0
21227, Ich möchte mehr und gesunderes Essen kaufen.,2
11588," Wenn Du willst, können wir sie gerne durchgehen.",0
8135, Ich werde morgen mit dem Laufen anfangen.,2
1508," Was kannst du tun, um dein Gewicht zu ändern?",0
21650, Ich habe schon viele verschiedene Diäten ausprobiert.,1
2717, Ich muss abnehmen.,0
12838," Ich muss also lernen, wieder Hunger zu haben.",0
10949, Ich habe mich nicht mehr wohl gefühlt.,0
8649, Ich muss mich mehr bewegen und weniger essen.,0
25444, Ich habe keine Zeit für Sport.,0
22919," Was kannst du tun, damit diese Gründe für dich eine neue Wichtigkeit erlangen?",0
16999, Ich bin hier um Dich auf deinem Weg zu einem gesünderen Gewicht zu unterstützen.,1
10070," Ich würde mehr Energie haben, die ich dann für andere Dinge verwenden könnte.",0
9252, Ich werde mich gesünder ernähren.,2
11995, Ich habe auch viel Sport gemacht.,1
22466, Ich bin auch ein Vorbild für meine Kinder.,0
17727, Ich muss ein paar Pfunde verlieren und wieder in meine Jeans passen.,0
23794, Hallo!,0
21087, Das klingt gut.,2
3771," Das kannst du auch machen, wenn du willst.",1
19349," Ich habe versucht, mehr zu joggen und weniger zu essen.",1
21290, Ich möchte abnehmen und mehr Sport treiben.,2
24724, Ich will nicht mehr so viel essen.,0
7065," Ich kann mich bewegen, ernähren und meine Gedanken kontrollieren.",0
10662, Hallo!,0
14658, Ich kann nicht widerstehen.,0
20003," Ich brauche eine App, die mir sagt, was ich essen soll und wie viel.",0
17435, KA: Ich habe keine Zeit für Sport.,0
9942, Hallo!,1
21199," Ein Ziel ist es, dass ich mich in einem Monat häufiger bewege.",2
16089," Ich habe schon einige, aber ich weiß nicht, was ich mit denen machen soll.",0
25615, Ich möchte weniger essen und gesünder leben.,0
14526, Ich habe weniger gegessen.,1
23987, Ich bin hier um Dich auf deinem Weg zu einem gesünderen Gewicht zu unterstützen.,2
12888," Also ich muss mir ein paar schöne Kleider kaufen, damit ich dann auch was zum anziehen habe.",0
17934," Ich muss einmal täglich aufstehen und mich in einen Zustand versetzen, der mir erlaubt, das zu leben, was ich mir wünsche.",0
14959, Ich habe keinen Bock mehr auf diese Diät.,0
19848, Ich kann die Mahlzeiten auf eine gesündere Weise zubereiten.,0
8420, Ich habe eine Diät gemacht.,1
2521, Ich möchte nicht mehr so viel essen wie ich es jetzt tue.,0
18253, Ich habe gesündere Ernährungsgewohnheiten eingeführt und mehr Sport getrieben.,1
24154," Ich habe eine Liste von Lebensmitteln, die ich gern mag, und eine Liste der Lebensmittel, die ich nicht so gerne mag.",1
9978, Zum Beispiel den Kaffee und die Zigaretten.,1
4786, Ich esse zu viel Süßes und zu viel Fett.,0
12172, Ich habe mir eine Ernährungs-App runtergeladen und damit mein Essverhalten genau verfolgt.,1
21219," Ist klar, dass ich mehr Sport machen will.",2
18893," Ich mag es nicht, wenn ich aussehe wie ein riesiger Kleidersack.",0
8189," Ich möchte mehr Sport machen, zb eine Stunde am Tag Laufen, Radfahren oder Schwimmen.",2
19290," Ich habe angefangen, meine Essgewohnheiten zu kontrollieren.",1
7826, Ich bin gerade auf dem Weg zur Arbeit.,0
23191, Hallo!,0
24733," Was mir am leichtesten fallen würde, wäre, mehr Sport zu treiben.",0
5758, Ich werde meine Erwartungen an mein Essverhalten korrigieren.,2
23150, Ich möchte gerne wieder schlank sein und vielleicht auch ein paar Kilos verlieren.,0
2648, Ich würde gerne meine Lieblings-Sportarten wieder ausüben können.,0
8822," Hallo, ich bin hier um Dir zu helfen Dein Gewicht zu reduzieren.",0
726, Ich habe schon einiges ausprobiert.,1
19478," Ich bin bereit, meine Ernährung umzustellen.",0
7390," Ich will ein besseres Körpergefühl haben, meine Haut wieder straffer und jugendlicher aussehen lassen und einfach mehr Spaß am Leben haben.",0
19677, Ich will mehr Sport machen.,0
5418," Was brauchst du, um mehr Kontrolle über dein Essverhalten gewinnen zu können?",0
4710, Hallo!,0
25264, Ich bin hier um Dich auf deinem Weg zu einem gesünderen Gewicht zu unterstützen.,0
18472, Ich möchte weniger essen.,0
13876, Ich werde mich mehr bewegen und die Kalorienzufuhr einschränken.,2
3638, Ich habe viel Sport gemacht.,2
1163, Ich will mein Gewicht reduzieren.,0
8869," Was muss passieren, damit du mehr Erfolg beim Abnehmen hast?",0
12394," Wenn ich abnehme, dann möchte ich auch meine Gesundheit verbessern.",0
13981," Ich möchte mehr Sport treiben und aufhören, so viele Süßigkeiten zu essen.",2
7528," Ich freue mich darauf, weniger zu wiegen, weil ich mich dann besser fühlen werde.",0
3689," Ich habe auch eine Diät gemacht, aber die hat keinen Erfolg gezeigt.",2
8443, Die Motivation fehlte einfach.,1
20260, Ich möchte mein Leben verändern.,0
13293," Wenn ich Gewicht verliere, werde ich dann in meinen alten Klamotten schlanker aussehen?",0
18003, Ich bin immer unterwegs.,0
7623, Ich werde meine Familie und Freunde besser verstehen können.,0
2638, Ich möchte meine Familie und Freunde wieder spüren.,0
24610," Ich wünsche mir, dass ich eine gesunde Ernährungs- und Lebensweise annehme.",0
5019," Ich denke, dass ich mich anstellen kann.",0
25839, Ich werde meine Ernährung umstellen und mich regelmäßig bewegen.,2
4609, Ich trinke zu viel davon und es macht mich schläfrig.,0
22503, Ich will meine Gesundheit verbessern.,0
2784, Ich muss mehr Sport treiben.,0
14153, Ich habe mich durch die Ernährungsumstellung anfangs auch sehr gesund ernährt und es hat sich wirklich gelohnt.,1
11691," Ich bin mir selbst nicht einmal sicher, was ich überhaupt essen darf und was nicht.",0
12980, Ich habe auch viel Stress im Arbeitsleben und kann deshalb nicht ausreichend sporteln.,0
1138, Ich möchte ein paar Kilo abnehmen.,0
9768, Ich habe schon einiges ausprobiert.,1
7663," Mein Leben wird sich ändern, weil ich dann mehr Energie habe und nicht mehr so viel essen muss.",0
15208, Ich komme mir vor als müsste ich irgendwie mehr tun.,0
5723," Wie wirst du vorgehen, um dein Essverhalten zu reflektieren und dann bewusst zu ändern?",2
2519, Ich bin hier um Dich auf deinem Weg zu einem gesünderen Gewicht zu unterstützen.,0
9676, Ich habe mich besser bewegt.,1
5389, Was soll ich tun?,0
15852," Was muss sich ändern, damit du mit der Gewichtskontrolle besser zurecht kommst und das Abnehmen dich weniger anstrengt?",0
827," Ich habe ein paar Diäten ausprobiert, aber ich habe nicht das Gefühl, dass es wirklich funktioniert hat.",1
19492," Ich bin bereit, meine Ernährung umzustellen.",0
4652, Ich möchte einfach genießen können.,0
18653, Ich könnte bei jeder Mahlzeit eine kleine Portion essen.,0
23522," Ich würde es wollen, weil ich mehr Energie haben will und fit sein will.",0
13605, Ich habe meine Ernährung umgestellt und mich mit Sport auseinandergesetzt.,2
24138, Hallo!,1
3236," Ich werde mich bemühen, mehr zu essen und regelmäßig zu trainieren.",2
18146," Ich habe Diäten gemacht, Sport getrieben und mich bewusst ernährt.",1
25812, Ich werde mich bewegen.,2
8314," Ich habe den Verzehr von Fleisch reduziert und vermeide es, beim Mittagessen Hamburger zu essen.",1
13317," Und ich möchte mich bewegen, um mein Zielgewicht zu erreichen.",0
6539," Ich habe zwar schon viel über gesunde Ernährung gelesen und es mit einigen Diätplänen ausprobiert, aber ich bin immer wieder aufs Neue enttäuscht worden.",1
7582, Ich werde häufiger ausgehen und vielleicht ein paar Freunde treffen.,0
8772," Ich habe es schon versucht, aber es hat nicht funktioniert.",0
7492," Ich habe keine Lust mehr, mich voll zu stopfen, um meine Gefühle und Gedanken zu verbergen.",0
11366, Ich würde mich nicht mehr so sehr bemühen.,0
23259, Ich habe schon viel zu lange keine Bewegung mehr gemacht.,0
400, Ich esse zu viel.,0
9364, Ich bin hier um Dich auf deinem Weg zu einem gesünderen Gewicht zu unterstützen.,0
12524, Und ich will mehr Freude an der Natur haben.,0
635," Ich will meinen Körperfettanteil senken, ich möchte gut und gesund aussehen.",2
3878, Ich habe einige Bücher über das Thema geschrieben.,1
22559," Ich möchte meine Lebensqualität verbessern und vielleicht auch noch etwas abnehmen, wenn ich das will.",0
18023, Hallo!,0
8437," Ich fühle mich einfach nur frustriert und ich habe keine Ahnung, was ich tun soll.",1
19480," Ich möchte mehr Obst und Gemüse essen, weniger Süßes.",0
22388, Ich will mein Gewicht auf ein niedrigeres Niveau bringen.,0
6997," Ich freue mich darauf, meine Freunde und Familie wieder zu sehen.",0
11370, Ich will meine Fähigkeiten wieder zurück und ein gesundes Selbstwertgefühl haben.,0
7561," Ich werde mehr Energie haben, ich werde mich besser fühlen und ich werde mehr mit meinen Freunden unternehmen können.",0
12633," Dazu fällt mir vieles ein: ich könnte meinen Partner dazu ermutigen, mit mir Sport zu machen.",0
4307," Außerdem habe ich angefangen, kleinere Portionen zu essen.",1
3885," Ich habe meinen Kühlschrank mit Obst und Gemüse gefüllt und dort alles, was ich täglich zu mir nehme, bereitgestellt.",1
25594, Ich esse zu schnell und zu viel.,0
11460," Was muss passieren, damit du dein eigenes Essverhalten mit mehr Selbstbewusstsein ändern kannst?",0
14203," Ich habe in den vergangenen Tagen getan, was ich immer tue.",1
13132," Ich bin schon immer sehr sportlich gewesen, aber nachdem ich ein paar Jahre lang nicht so viel Sport gemacht habe, wie ich es gerne möchte, wird es Zeit, dass ich wieder mehr Sport treibe.",0
25034," Ich bin hier um Dir zu helfen, dein Gewicht zu halten.",0
10280," Ich wünsche mir, dass ich nicht mehr so viel essen muss!",0
23873," Ich werde mehr Obst und Gemüse essen, weniger Süßigkeiten und Fast Food.",2
22263, Ich möchte schlanker werden.,0
20346," Ich möchte mein Gewicht reduzieren, damit ich gesünder leben kann.",0
10601," Ich habe Angst, dass ich fett werde.",0
4648," Ich weiß nicht, wo ich anfangen soll.",0
15196, Ich esse nicht mehr so viel.,0
1448, Ich kann mehr Sport treiben.,0
3788," Ich habe viele Bücher gelesen, die mir ein gesünderes Leben ermöglichen sollten, und ich habe mich an den Rat meines Arztes gehalten.",1
17963," Ich habe Diäten gemacht, Sport getrieben, ich habe eine Ernährungsumstellung vorgenommen, aber es hat nichts gebracht.",0
15439," Ich weiß nicht, wie ich das Gewicht loswerden soll.",0
9938," Ich habe es aufgegeben, mich beim Essen zu beschämen.",1
13764," Wenn ich es systematisch mache, dann kann ich es auch länger durchhalten.",0
2203," Ich bin frustriert, dass ich nicht abnehme.",0
19476, Ich möchte abnehmen und gesünder essen.,0
14628," Ich habe keine Zeit, mich um mein Essen zu kümmern.",0
25048, Ich habe eine Reihe von Fragen zu meinem Essverhalten.,0
18422, Ich möchte mehr Sport machen.,0
20217, Ich habe eine gute Selbstkontrolle und kann mich gut auf mein Gewicht konzentrieren.,0
19872, Ich kann meine Ernährung umstellen.,0
7079," Ich kann meinen Kalorienverbrauch erhöhen, indem ich meine tägliche Aktivität steigere.",0
799, Ich habe in den letzten Monaten mein Essverhalten umgestellt.,1
8165," Ich habe vor, nach dem Training heute Abend eine Runde zu joggen.",2
2315, Ich will ein gesünderes Gewicht haben.,0
732, Ich habe einige meiner Ernährungsgewohnheiten verändert.,1
20873, Dieses Mal werde ich es schaffen!,0
25463, Ich müsste mehr Zeit für mich haben.,0
2672, Ich muss weniger essen und mehr Sport treiben.,0
6136, Ich habe mir ein paar Gedanken dazu gemacht.,0
14417," Ich habe einige neue Sportarten ausprobiert, zb Yoga, Schwimmen und Jogging bei denen ich mich gut gefühlt habe.",1
10154, Ich bin hier um Dich auf deinem Weg zu einem gesünderen Gewicht zu unterstützen.,0
20555, Ich will nicht mehr dick sein.,0
11999, Ich gehe mehr spazieren.,1
3815," Ich habe mich entschieden, eine Ernährungsumstellung durchzuführen.",1
2074," Ich bin frustriert darüber, dass ich nicht abnehme.",0
25684, Ich möchte gerne mehr Sport machen.,0
2133," Ich bin frustriert, dass ich nicht abnehme.",0
24197," Als ich angefangen habe, die Ernährungsumstellung zu machen, habe ich mir ein Ernährungstagebuch gemacht und täglich gewogen.",1
3932, Ich kann auch einfache Sportarten wie Joggen oder Radfahren.,0
14738, Ich mache mir oft viele Gedanken über mein Essverhalten.,0
6117, Ich bin hier um Dich auf deinem Weg zu einem gesünderen Gewicht zu unterstützen.,0
377," Ich habe keine Zeit, mich zu bewegen.",0
2969, Ich muss weniger essen.,0
714, Ich habe auch bereits mit Sport begonnen.,1
21191, Ich möchte meine Ernährung umstellen und vor allem mehr auf Gemüse und Obst setzen.,2
5572, Ich bin hier um Dich auf deinem Weg zu einem gesünderen Gewicht zu unterstützen.,0
16561, Ich werde eine Diät machen!,2
4159, Hast du schon ein Ziel für dein Gewicht?,1
3210, Ich werde meine Ernährung umstellen und mehr Sport treiben.,2
15591," Ich habe das Gefühl, dass ich nicht so viel essen darf wie ich möchte.",0
6197, Hallo!,1
16818," Ich habe eine ganze Reihe von Gewohnheiten, die mir helfen.",1
8144, Ich werde heute ein paar Stunden im Garten arbeiten.,2
11759, Hallo!,0
11955, Ich werde mich dafür entscheiden abzunehmen!,2
6651," Ich möchte gesund sein, ich möchte endlich wieder in eine Größe passende Kleidung kaufen können.",0
10498, Das habe ich dann auch meistens nach einer Weile wieder eingestellt.,0
22011, Ich möchte mein Gewicht reduzieren und auch meine Ernährung umstellen.,2
21980, Ich will endlich eine gesunde Ernährungsweise finden und zu meinem Wunschgewicht kommen.,0
19940," Ich bin ziemlich eingeschränkt und habe nur wenig Zeit für mich, weil ich viel arbeite.",0
10442, Ohne Erfolg.,0
5565, Ich möchte einfach weniger essen und mich gesünder ernähren.,0
23398," Ich würde weniger Angst haben, weil ich nicht mehr so viel zunehmen würde.",0
21414, Ich trinke seit einigen Monaten auch keinen Alkohol mehr.,1
11116, Ich habe seit Jahren ein Problem mit meinem Gewicht.,0
24205, Hallo!,1
19375, Ich habe ein paar Wochen lang einen Ernährungsplan gemacht.,1
19043, Ich muss mehr Salat essen.,0
15255, Ich bin hier um Dich auf deinem Weg zu einem gesünderen Gewicht zu unterstützen.,0
5123," Wenn ich mich mit einem Freund treffe, dann geht es meistens um Essen.",0
1211, Ich will in einem Jahr wiegen.,0
15085," Was kannst du tun, um mit den Belastungen bei der Gewichtskontrolle umzugehen?",0
23771," Was muss passieren, damit du dein Gesundheitsverhalten änderst?",0
19786," Ich kann mein Essverhalten ändern, indem ich meine Ernährung umstelle.",0
5687, Ich werde mich bewegen.,2
4370," Ich esse jetzt nicht mehr so viel süße, fette und salzige Sachen.",1
17433," KA: Ich weiß nicht, was ich tun soll.",0
1969, Ich möchte einfach gesünder leben.,0
21940," Ich möchte abnehmen, da ich meine Kleidergröße nicht mehr finde.",0
18246," Ich habe immer wieder Diäten gemacht, ich habe Sport getrieben und auch ein paar Mal in der Woche gefastet.",1
